path,label,split,flag_type,priority
../foodsg-233\Kueh Salat\SEX1JD2ZLMT30NYUHDPWYWYY.jpg,Kueh Salat,all,cross_class_duplicate,HIGH
../foodsg-233\honeydew\C397GKQ0U5OQXLKI9OLUBPFP.jpg,honeydew,all,cross_class_duplicate,HIGH
../foodsg-233\Fruit juice\6GSMS6RQZRN4MVKRK6O1L6OR.jpg,Fruit juice,all,cross_class_duplicate,HIGH
../foodsg-233\Mee soto\B04SG4QI1CCUW4B6P1AMHZP6.jpg,Mee soto,all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, soto\GV407L796HZ6777RAED8MUQE.jpg","Bee hoon, soto",all,cross_class_duplicate,HIGH
../foodsg-233\chin chow drink\YN24CKPSFVMU639FMJCTWY4E.jpg,chin chow drink,all,cross_class_duplicate,HIGH
../foodsg-233\Bubble Milk Tea\NW4QLI5PDQG9C2T21DS0323H.jpg,Bubble Milk Tea,all,cross_class_duplicate,HIGH
../foodsg-233\Fish Ball Noodles\7FRWIXKRBZ50BAZBZ6WUIB5U.jpg,Fish Ball Noodles,all,cross_class_duplicate,HIGH
../foodsg-233\mee pok\G0ET3S86PVT5BI32XJH6JKEN.jpg,mee pok,all,cross_class_duplicate,HIGH
../foodsg-233\Soto ayam\Q9D6OAKH0DNWCCPXKFHD1CE2.jpg,Soto ayam,all,cross_class_duplicate,HIGH
../foodsg-233\Mee soto\OSSNZ06NOIKI7HXHQMHPVKLV.jpg,Mee soto,all,cross_class_duplicate,HIGH
../foodsg-233\Mee siam\GKY3UY07YWMIE8FBDQTKZS0W.jpg,Mee siam,all,cross_class_duplicate,HIGH
"../foodsg-233\Mee siam, fried\BVHX47THZ55NBY766JVCEFA2.jpg","Mee siam, fried",all,cross_class_duplicate,HIGH
../foodsg-233\tom yum noodle soup\Q2Y3KUZS5ENK0I7KI6IGZTIH.jpg,tom yum noodle soup,all,cross_class_duplicate,HIGH
../foodsg-233\miso soup\SJB6AQ5INMU1LKSAOW0X9LC7.jpg,miso soup,all,cross_class_duplicate,HIGH
../foodsg-233\bee hoon\7E39I5IVIKF52ZKWFJRWF9OK.jpg,bee hoon,all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, goreng\7DRSAS86YXC7ZFFQLH8YJIF1.jpg","Bee hoon, goreng",all,cross_class_duplicate,HIGH
../foodsg-233\har cheong gai\D2E4S4UIHGQX6K5RJLGLELUP.jpg,har cheong gai,all,cross_class_duplicate,HIGH
../foodsg-233\fried chicken\R8WPQT2W2X9BPZPYO1OW5ZML.jpg,fried chicken,all,cross_class_duplicate,HIGH
../foodsg-233\Fried Noodles\B5ORBV818PTL7KB1ZXQQH40Z.jpg,Fried Noodles,all,cross_class_duplicate,HIGH
../foodsg-233\Udon\BY4B9XZU9Z0DKVHHJ4IV29UO.jpg,Udon,all,cross_class_duplicate,HIGH
../foodsg-233\Seafood Noodles Soup\1G68PHYEWF3SLCS5TSUIKON3.jpg,Seafood Noodles Soup,all,cross_class_duplicate,HIGH
../foodsg-233\sliced fish soup\Y5MBNPA26XMB3Y36DVZ6THPE.jpg,sliced fish soup,all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, goreng\AQFGENDDD4IS7GW58R4ZAQYM.jpg","Bee hoon, goreng",all,cross_class_duplicate,HIGH
../foodsg-233\bee hoon\L8FB8ZMR7HV1HHYMGQM10JYD.jpg,bee hoon,all,cross_class_duplicate,HIGH
"../foodsg-233\Mee siam, fried\89FWZ9GZTZCJBRMW58BP9B4P.jpg","Mee siam, fried",all,cross_class_duplicate,HIGH
../foodsg-233\char siew pau\LEV6CKDQKPDRLWZKNX48ZTWC.jpg,char siew pau,all,cross_class_duplicate,HIGH
../foodsg-233\char siew\HR67164AQ1VTLLD3OIC9UP9W.jpg,char siew,all,cross_class_duplicate,HIGH
../foodsg-233\bee hoon\WF1T751HJ7M1Y9R3DURNXL87.jpg,bee hoon,all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, goreng\KS1MRWPGCFO64Z3ZYLDDXCX3.jpg","Bee hoon, goreng",all,cross_class_duplicate,HIGH
../foodsg-233\raspberry\ZXSOIDBVLF8M53YH41O61M1N.jpg,raspberry,all,cross_class_duplicate,HIGH
../foodsg-233\Blackberry\8KF7GTS3PQYRWRPVBE4B03SX.jpg,Blackberry,all,cross_class_duplicate,HIGH
../foodsg-233\Soto ayam\9LDHC1SQ2XER27U2ETV3AFEW.jpg,Soto ayam,all,cross_class_duplicate,HIGH
../foodsg-233\Mee soto\RLXG2WNYA4IJCUHW78W8XTA9.jpg,Mee soto,all,cross_class_duplicate,HIGH
../foodsg-233\fried prawn\IWXBL5LHK13N7Q3G211ORMJJ.jpg,fried prawn,all,cross_class_duplicate,HIGH
../foodsg-233\drunken prawn\KYCJJ10NV0OYQ3J39JN4THN1.jpg,drunken prawn,all,cross_class_duplicate,HIGH
../foodsg-233\Lontong with sayur lodeh\6Z0A1E9KNYRE8M9JUPD2GYT4.jpg,Lontong with sayur lodeh,all,cross_class_duplicate,HIGH
../foodsg-233\lontong\IDINW56E43SM64MA9INYWO8J.jpg,lontong,all,cross_class_duplicate,HIGH
../foodsg-233\cooked brown rice\2ECD2G51AHZR3WTDE8WLEZEV.jpg,cooked brown rice,all,cross_class_duplicate,HIGH
../foodsg-233\cooked white rice\3OHXQL4MS9J7VZUE5V2WIEJY.jpg,cooked white rice,all,cross_class_duplicate,HIGH
../foodsg-233\Mee soto\QNJ062WMXTQRUPYPHFQUDUNF.jpg,Mee soto,all,cross_class_duplicate,HIGH
../foodsg-233\Soto ayam\L6J3EJN1XDQUVZ5KQOVYRVBU.jpg,Soto ayam,all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, soto\QQB5PVXT74AJDQZ8B6AOCC7W.jpg","Bee hoon, soto",all,cross_class_duplicate,HIGH
../foodsg-233\Mee soto\XP7KEOUXZ0U3SWPYHDUDKQWU.jpg,Mee soto,all,cross_class_duplicate,HIGH
../foodsg-233\Soto ayam\E94I8XE5IKY5LC1CS66FUS7I.jpg,Soto ayam,all,cross_class_duplicate,HIGH
../foodsg-233\Grape\BSPSECLLWJLXIJ1ELW8FIYJX.jpg,Grape,all,cross_class_duplicate,HIGH
../foodsg-233\canned Fruit salad\OSA010MZSDBNL8SE8GRV1TCX.jpg,canned Fruit salad,all,cross_class_duplicate,HIGH
../foodsg-233\canned Fruit salad\U0SA5HN8V51CC722AJVVF81J.jpg,canned Fruit salad,all,cross_class_duplicate,HIGH
../foodsg-233\whole grain bread\ULN2YQE5LHC2HS9ZQDJJRPNO.jpg,whole grain bread,all,cross_class_duplicate,HIGH
../foodsg-233\whole wheat\AP6YPPSOQ9DWNWB6Z17YCUB7.jpg,whole wheat,all,cross_class_duplicate,HIGH
../foodsg-233\mushroom soup\KWTLPRFE6KN41MYIVEYEJ1GR.jpg,mushroom soup,all,cross_class_duplicate,HIGH
../foodsg-233\cream soup\V1ZPP8LHAK97VYUCCSS7SW04.jpg,cream soup,all,cross_class_duplicate,HIGH
../foodsg-233\beef noodle soup\OXJA0QQDQ4YNE6N02C3IBD9H.jpg,beef noodle soup,all,cross_class_duplicate,HIGH
../foodsg-233\Udon\D9K23ORZ1WIRHE40C59JKW2Z.jpg,Udon,all,cross_class_duplicate,HIGH
../foodsg-233\Lontong with sayur lodeh\Q80B3XRS9XW7XVOF27Z3OG2I.jpg,Lontong with sayur lodeh,all,cross_class_duplicate,HIGH
../foodsg-233\lontong\N4UEPRWUYT4PFFQ7J4VJI70G.jpg,lontong,all,cross_class_duplicate,HIGH
../foodsg-233\hokkien prawn mee\FYONRINHNOFHHXEFL5QS63WP.jpg,hokkien prawn mee,all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, goreng\2M9F4VRZKE73232KJ69IAGRU.jpg","Bee hoon, goreng",all,cross_class_duplicate,HIGH
../foodsg-233\rice dumpling\7Y516R98U0K9X7PYL03W4AJG.jpg,rice dumpling,all,cross_class_duplicate,HIGH
../foodsg-233\cooked brown rice\MWEYKJEPFJKO8WZSS0EIP7HZ.jpg,cooked brown rice,all,cross_class_duplicate,HIGH
../foodsg-233\Soto ayam\JPU5QPOU9S864B3307OFDH7Y.jpg,Soto ayam,all,cross_class_duplicate,HIGH
../foodsg-233\Mee soto\IZH5O07G4GMCS9ZKJ6GGYXL8.jpg,Mee soto,all,cross_class_duplicate,HIGH
../foodsg-233\Kway Teow\AEX57MNXA3DW1G1OE81U2EBG.jpg,Kway Teow,all,cross_class_duplicate,HIGH
../foodsg-233\chai tow kuay\KAIHE7DDB0XN9WHZW1LHV6W9.jpg,chai tow kuay,all,cross_class_duplicate,HIGH
../foodsg-233\Mee siam\HGQR7GQI9SL0MCP3X5JNYN7P.jpg,Mee siam,all,cross_class_duplicate,HIGH
"../foodsg-233\Mee siam, fried\FNYE1S6PNSIA9AVZQE5HVZGW.jpg","Mee siam, fried",all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, goreng\1GXV90OI5KS6AV6WZGL603L4.jpg","Bee hoon, goreng",all,cross_class_duplicate,HIGH
../foodsg-233\bee hoon\0W35482DJMY483ZXMW2FISK2.jpg,bee hoon,all,cross_class_duplicate,HIGH
../foodsg-233\Mee soto\4Y4YWN65LGCDT3KW6IRCREEC.jpg,Mee soto,all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, soto\VO5F0JSVLMJJAGQD9YFBFCDR.jpg","Bee hoon, soto",all,cross_class_duplicate,HIGH
"../foodsg-233\Rice, korean bulgogi beef\SRTN1U6VTPN0XEUF80N44TRL.jpg","Rice, korean bulgogi beef",all,cross_class_duplicate,HIGH
../foodsg-233\mixed grills\W2U02UVITI2AIP9178VKUR2X.jpg,mixed grills,all,cross_class_duplicate,HIGH
../foodsg-233\Laksa\KCV6XGU10BUMTHT3GKZ23FFX.jpg,Laksa,all,cross_class_duplicate,HIGH
../foodsg-233\satay bee hoon\5ONB8KMQQ2BOJGDRIP3WVOBG.jpg,satay bee hoon,all,cross_class_duplicate,HIGH
../foodsg-233\Laksa\YN0SINK1JYUHAUVA19D5E7I3.jpg,Laksa,all,cross_class_duplicate,HIGH
../foodsg-233\Mee soto\VU49T6RBOOZI25I7N8K9UYRM.jpg,Mee soto,all,cross_class_duplicate,HIGH
../foodsg-233\Soto ayam\EQT1MEGS0ZJN0SNHX5M825FL.jpg,Soto ayam,all,cross_class_duplicate,HIGH
../foodsg-233\sambal stingray\WFADFMVLGFNAQ55NX75KWZPJ.jpg,sambal stingray,all,cross_class_duplicate,HIGH
../foodsg-233\sambal\K0GXMAPSU6HGO1388GXJZ7TN.jpg,sambal,all,cross_class_duplicate,HIGH
../foodsg-233\bak chor mee\TV842L8XYUQVVE8OBD2OZS77.jpg,bak chor mee,all,cross_class_duplicate,HIGH
../foodsg-233\mee pok\PAO00VZMLJUZIKFQWX6FHG05.jpg,mee pok,all,cross_class_duplicate,HIGH
../foodsg-233\tandoori chicken\HFZUPF7U171MBD3Y3VP69UPY.jpg,tandoori chicken,all,cross_class_duplicate,HIGH
../foodsg-233\chicken masala\BYBZQWFWEL6F0CL04SW4RYD5.jpg,chicken masala,all,cross_class_duplicate,HIGH
../foodsg-233\Udon\U6AH6PV67TGFVO42C2C4DXKX.jpg,Udon,all,cross_class_duplicate,HIGH
../foodsg-233\beef noodle soup\29IIY2O06P311DVZESMWJBT4.jpg,beef noodle soup,all,cross_class_duplicate,HIGH
../foodsg-233\satay bee hoon\IWL9T4FYQX1Y20UARCPB2EJ9.jpg,satay bee hoon,all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, soto\WS8JOUDV9765ZZN8UD8UZOV4.jpg","Bee hoon, soto",all,cross_class_duplicate,HIGH
../foodsg-233\yogurt\YZL9A2PYU4VWEC7XBDFL5SOK.jpg,yogurt,all,cross_class_duplicate,HIGH
../foodsg-233\muesli\824Q39QD705H91MJVC557HNT.jpg,muesli,all,cross_class_duplicate,HIGH
../foodsg-233\Laksa\GA2LHXLI666ICZEDEOJRX7AA.jpg,Laksa,all,cross_class_duplicate,HIGH
../foodsg-233\yong tau foo\RZAZFVNU79R5ENCRYUWB2B4G.jpg,yong tau foo,all,cross_class_duplicate,HIGH
../foodsg-233\whole wheat\A3WVPIBYKEPGX7CCR7N9CPKO.jpg,whole wheat,all,cross_class_duplicate,HIGH
../foodsg-233\whole grain bread\WDAEIB0T0NFUYVGH3L4UK7PA.jpg,whole grain bread,all,cross_class_duplicate,HIGH
"../foodsg-233\Wanton mee, dry\KL92R4G95GOIO0FNND2VY7WI.jpg","Wanton mee, dry",all,cross_class_duplicate,HIGH
../foodsg-233\Fried Noodles\VQ11E691RS5HOMOG04JVYYPO.jpg,Fried Noodles,all,cross_class_duplicate,HIGH
../foodsg-233\Mee soto\XKI5LWUVWT8R1CJTYFS0WXLH.jpg,Mee soto,all,cross_class_duplicate,HIGH
../foodsg-233\Soto ayam\TKG8XCRJ22NEKPP700I8OTTI.jpg,Soto ayam,all,cross_class_duplicate,HIGH
../foodsg-233\green leafy vegetables\I45KVFV74WBUXLI68AVOG2CJ.jpg,green leafy vegetables,all,cross_class_duplicate,HIGH
../foodsg-233\mixed vegetables\1B7V5UI62JI346ZN0R5DTXFY.jpg,mixed vegetables,all,cross_class_duplicate,HIGH
../foodsg-233\Soto ayam\9066XWM0HSTU4EFU2EEO3NKX.jpg,Soto ayam,all,cross_class_duplicate,HIGH
../foodsg-233\Mee soto\I1AKINHBF4X846EDMCKUOP04.jpg,Mee soto,all,cross_class_duplicate,HIGH
../foodsg-233\fried prawn\EK723MTAQ64FZCYNL5BL8LKG.jpg,fried prawn,all,cross_class_duplicate,HIGH
../foodsg-233\drunken prawn\5NB3PUERP320L3WYD7ZS504O.jpg,drunken prawn,all,cross_class_duplicate,HIGH
../foodsg-233\bakso\ZGGM975L221DVHV0KHND4YVY.jpg,bakso,all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, soto\4FCDP2BSVUZ5WN53E9TZ8CUF.jpg","Bee hoon, soto",all,cross_class_duplicate,HIGH
../foodsg-233\Porridge\DJYYD13FG014506P2C9T07SX.jpg,Porridge,all,cross_class_duplicate,HIGH
../foodsg-233\Chinese fritters\TVHL45K20EIRZF1X3NT1ZGPB.jpg,Chinese fritters,all,cross_class_duplicate,HIGH
../foodsg-233\Fruit juice\0ML69O6ZT96J1QJKBE3T50R3.jpg,Fruit juice,all,cross_class_duplicate,HIGH
../foodsg-233\pineapple\DBITXDEH6FG2RMWT5TA3F0OA.jpg,pineapple,all,cross_class_duplicate,HIGH
../foodsg-233\Lontong with sayur lodeh\RKE5K5SMTS6MKEE8FYS9P28N.jpg,Lontong with sayur lodeh,all,cross_class_duplicate,HIGH
../foodsg-233\lontong\0NPSVC7TTL9H9FVJY2M3FHCG.jpg,lontong,all,cross_class_duplicate,HIGH
../foodsg-233\Soto ayam\EY19E5S2QRE7HEMHGBPTM0RK.jpg,Soto ayam,all,cross_class_duplicate,HIGH
../foodsg-233\Mee soto\MTDCWU8DEE20ZVDYM5GDXHZ5.jpg,Mee soto,all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, soto\NH6MC2Y1KT8LTDG3KLOD8AB4.jpg","Bee hoon, soto",all,cross_class_duplicate,HIGH
../foodsg-233\satay\RL8LWRTGSRO9Q8B7NL96RG9J.jpg,satay,all,cross_class_duplicate,HIGH
../foodsg-233\satay bee hoon\6Y1L1O8UEDSQR59QI8PVVWWF.jpg,satay bee hoon,all,cross_class_duplicate,HIGH
../foodsg-233\chilli crab\DTX84AYR2NVZCI57A2276CA5.jpg,chilli crab,all,cross_class_duplicate,HIGH
../foodsg-233\black pepper crab\RTLF7YSO1MNARNI22ZUG2W49.jpg,black pepper crab,all,cross_class_duplicate,HIGH
../foodsg-233\Hor Fun\401A8QDNOIYH8LHTAH2TF3ZZ.jpg,Hor Fun,all,cross_class_duplicate,HIGH
../foodsg-233\Seafood Noodles Soup\E0DFX8RG0E1SOANNB7618MPK.jpg,Seafood Noodles Soup,all,cross_class_duplicate,HIGH
"../foodsg-233\Mee siam, fried\YHZE9QLMD5IOO9FGOC2UPUNL.jpg","Mee siam, fried",all,cross_class_duplicate,HIGH
../foodsg-233\satay bee hoon\7HNG6EDH76G6D3Z8N5JR1X03.jpg,satay bee hoon,all,cross_class_duplicate,HIGH
../foodsg-233\kebab - chicken\4X13P223JLPVIS2MPHC1ECOH.jpg,kebab - chicken,all,cross_class_duplicate,HIGH
../foodsg-233\tandoori chicken\C3HD6BIKT78MYS6CFB05JULT.jpg,tandoori chicken,all,cross_class_duplicate,HIGH
../foodsg-233\fried rice\IHD1ZSHSD2VHT0UXOAE7777Y.jpg,fried rice,all,cross_class_duplicate,HIGH
../foodsg-233\Nasi pattaya\YEP6GVUZLI687EFYMU5O0O82.jpg,Nasi pattaya,all,cross_class_duplicate,HIGH
../foodsg-233\bee hoon\I6R4NR65JB4W7ZIOUTWFNPTE.jpg,bee hoon,all,cross_class_duplicate,HIGH
../foodsg-233\Seafood Noodles Soup\P1CQ52WW6M8ARVQK5R47XHFN.jpg,Seafood Noodles Soup,all,cross_class_duplicate,HIGH
../foodsg-233\sliced fish soup\X511K2H6QSJAGAAUB73RAA2L.jpg,sliced fish soup,all,cross_class_duplicate,HIGH
../foodsg-233\Seafood Noodles Soup\5GLM6L7AJEN8D8FPCKEKYM5O.jpg,Seafood Noodles Soup,all,cross_class_duplicate,HIGH
../foodsg-233\bee hoon\8HWUO8DDOPEIXWFYNCQ2HSG6.jpg,bee hoon,all,cross_class_duplicate,HIGH
"../foodsg-233\Mee siam, fried\IHPT4MJBNZ6IW8HC3PFAMHHY.jpg","Mee siam, fried",all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, goreng\XNDD9V958VO4LYDABLTW5IVE.jpg","Bee hoon, goreng",all,cross_class_duplicate,HIGH
../foodsg-233\black pepper crab\23LEYBNVHX9QHFW1D4BQVLFN.jpg,black pepper crab,all,cross_class_duplicate,HIGH
../foodsg-233\chilli crab\5BJQ5VB7ZZXYAEOUVU09Q6SX.jpg,chilli crab,all,cross_class_duplicate,HIGH
../foodsg-233\lontong\HMYMJU9NQNVFUFKFTSBA1JS6.jpg,lontong,all,cross_class_duplicate,HIGH
../foodsg-233\Lontong with sayur lodeh\Q7ME8LG4J7G5EXGMC94K91SZ.jpg,Lontong with sayur lodeh,all,cross_class_duplicate,HIGH
../foodsg-233\chai tow kuay\7SSTIE78PF1FJDCWPTKLC9BR.jpg,chai tow kuay,all,cross_class_duplicate,HIGH
../foodsg-233\Kway Teow\O3MTJMDZ0NHIGF1ZW5Z5TMZY.jpg,Kway Teow,all,cross_class_duplicate,HIGH
../foodsg-233\xiao long bao\2RZDGM2LUH7AV814KQE21IFN.jpg,xiao long bao,all,cross_class_duplicate,HIGH
../foodsg-233\char siew pau\ZLAYYOY9ATHXTVNX8QR15LJX.jpg,char siew pau,all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, soto\J6SXHQ2TMH8OAPYZXJIMBIS2.jpg","Bee hoon, soto",all,cross_class_duplicate,HIGH
../foodsg-233\bee hoon\CRYGFFSP0OMK3U2YMPE53OBV.jpg,bee hoon,all,cross_class_duplicate,HIGH
../foodsg-233\Soto ayam\B4B89A33EW5XJ5D1E6HIUPMD.jpg,Soto ayam,all,cross_class_duplicate,HIGH
../foodsg-233\Mee soto\8DFUXTVIECTTAUI89KW2T4BF.jpg,Mee soto,all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, soto\05YRZPIW92Q1UZWECFPX59MO.jpg","Bee hoon, soto",all,cross_class_duplicate,HIGH
../foodsg-233\whole wheat\TNYZ10PIN7WWPST8QXGL0PQ5.jpg,whole wheat,all,cross_class_duplicate,HIGH
../foodsg-233\whole grain bread\KFG97X2AN82K3Q5A7DQ0ATDN.jpg,whole grain bread,all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, soto\4QMLPU3REZRUT4J93TFAYL8A.jpg","Bee hoon, soto",all,cross_class_duplicate,HIGH
../foodsg-233\Soto ayam\1METI4K2CEDGBKJLOOF2CWMI.jpg,Soto ayam,all,cross_class_duplicate,HIGH
../foodsg-233\Mee soto\TPDMDEZZ1DUD45MVBXONZ615.jpg,Mee soto,all,cross_class_duplicate,HIGH
../foodsg-233\Mee siam\TR5CVARNBS4S7AWC5Q2O1B1H.jpg,Mee siam,all,cross_class_duplicate,HIGH
../foodsg-233\Mee goreng\RBX1U22GJOU2CKTAQEI38G1D.jpg,Mee goreng,all,cross_class_duplicate,HIGH
../foodsg-233\Mee siam\Q125M8978AVRTXZPVLS2UJWU.jpg,Mee siam,all,cross_class_duplicate,HIGH
"../foodsg-233\Mee siam, fried\00YG9CCUU38BMPVY1JBDO75I.jpg","Mee siam, fried",all,cross_class_duplicate,HIGH
