path,label,split,md5,phash
../foodsg-233_cleaned\satay bee hoon\YVK6MGRGN0TJCZHSAP52QT8M.jpg,satay bee hoon,all,e271b9be4799530b28a1026dad613346,93931f8d011e7ef0
../foodsg-233_cleaned\satay bee hoon\Y5M9T2MFYGZEJRWPXLPYZMDX.jpg,satay bee hoon,all,dac55ac35369c41047a88e0abcc09d8d,93931f8d011e7ef0
../foodsg-233_cleaned\Udon\HKJ5J5R2GTFDMFKCSONC8PO4.jpg,Udon,all,41d3b67e5c82f511cb30c0a1201d3e1d,95323b95e51ad865
../foodsg-233_cleaned\Udon\EGOJP45RKK3423IZQV2MCYW1.jpg,Udon,all,76437aed68576a9b52d91da0b274ddeb,95323b95e51ad865
../foodsg-233_cleaned\satay bee hoon\GKAIORZ2CTE0IEXO30HBRWA7.jpg,satay bee hoon,all,f21041da484f7b4600813801c5334d0e,97d784709ee29c61
"../foodsg-233_cleaned\Bee hoon, soto\VSP65EG225L1EKPC2CEEYUY5.jpg","Bee hoon, soto",all,379d4e082c1f3d2e5380a8173d44a73a,97d784709ee29c61
../foodsg-233_cleaned\Mee rebus\UMCUYN95B8URSJ1PN3098G5H.jpg,Mee rebus,all,d1166be2dc4c375a4eccf041cc6d7d5b,99e3e619192ee037
../foodsg-233_cleaned\Mee kuah\PUMCZCSGAOXN2U8HPJPINWG5.jpg,Mee kuah,all,a4b3f68d994786434ce675538a942a9a,99e3e619192ee037
../foodsg-233_cleaned\Udon\JZLQTDQOH0DC1MX58XC1X14T.jpg,Udon,all,caea03fd8a54ef36cc6e5005d2b006ce,9a3d71eb5d90c095
../foodsg-233_cleaned\Udon\JZB0BANQDBY2J2BDHCVNAO0X.jpg,Udon,all,fef9875e706d46f58724ec141c8648ca,9a3d71eb5d90c095
../foodsg-233_cleaned\vegetarian bee hoon\DQPT8OU4QG4KAXB54VU2EYXI.jpg,vegetarian bee hoon,all,b4840915eb1bbc48067cf78f95bdcd57,9bf3220a6ac7c6c5
../foodsg-233_cleaned\Mee siam\APLB8XYXTTFHKJMYEZLAG2EK.jpg,Mee siam,all,b08bceed900bb826b7ac90cf7487641c,9bf3220a6ac7c6c5
"../foodsg-233_cleaned\Mee siam, fried\P857TICUK1X8Q4K6R89PQEAK.jpg","Mee siam, fried",all,ff398085a104c40440d80a127c01dc2c,9c912ed23dcce392
"../foodsg-233_cleaned\Mee siam, fried\RPV0U70L77881NKB54GRWHP2.jpg","Mee siam, fried",all,1803e8dc82030b79bcdf434e75c0bc35,9c912ed23dcce392
../foodsg-233_cleaned\Mee siam\FBSPYCV9O4A96ZBVIG08R0TZ.jpg,Mee siam,all,e7729cf98225858d2dc4c0b540bfbc69,a0d69fa8d5c17ec0
"../foodsg-233_cleaned\Bee hoon, goreng\X1ZTVGMKQO8HVZ7VMIKP30KY.jpg","Bee hoon, goreng",all,9b37ba7aab8b4468aee0eb0f47b793f1,a0d69fa8d5c17ec0
../foodsg-233_cleaned\Mee goreng\GFKXB0YWL5L4R5X6YA10POXL.jpg,Mee goreng,all,be45c6d44f770966157984369a8abe94,a0f18f9619d97439
"../foodsg-233_cleaned\Bee hoon, goreng\RGZ83TOAH9RVABBLESTNUULF.jpg","Bee hoon, goreng",all,fab4edee1dbeb0bd2652361e378cb128,a0f18f9619d97439
../foodsg-233_cleaned\Kueh Salat\KQS5C64NJOCX60026W2816ZD.jpg,Kueh Salat,all,2b88983b98fa8fd8f48c79b1be28ca7d,a1191ee66d6e720e
../foodsg-233_cleaned\Pung Kueh\P10YWE5DRSMJ4C3Z9U91C40A.jpg,Pung Kueh,all,08ae79f63c5109bf882277b06616e452,a1191ee66d6e720e
../foodsg-233_cleaned\vegetable soup\VZTJ59M6CKS68I6RY0O0VF7R.jpg,vegetable soup,all,70d1cc63f45a7c1ce21ba44048f713bc,a2038f8f3c9c747c
../foodsg-233_cleaned\chicken soup\9D7Y5X4S9AMMT1IZ7UEKHXJI.jpg,chicken soup,all,ce2865b59d32011f638198ee896c584b,a2038f8f3c9c747c
../foodsg-233_cleaned\Soto ayam\I98S5RI41JSQD5F0ZMBRIY4K.jpg,Soto ayam,all,a33b54962229e2fff16b4357f0f368df,a28e67377838e16c
"../foodsg-233_cleaned\Bee hoon, soto\K66GXKUOK97JI98MB3UGR6WG.jpg","Bee hoon, soto",all,5813fd1e40d4a696c9d963f94e738634,a28e67377838e16c
../foodsg-233_cleaned\Fried Noodles\YD5S8ELATFLG5B8R0F85H5DZ.jpg,Fried Noodles,all,1ea41c91e28ec8019dd85eeef604a6c0,a2cd47d68adcb152
"../foodsg-233_cleaned\Mee siam, fried\FFZ5E5LS4C0HNQ4QVZN46IVY.jpg","Mee siam, fried",all,3717bd115d8cdf1d2357d03b7993fc88,a2cd47d68adcb152
../foodsg-233_cleaned\Mee bandung\KMA5TGOWD4K227SK0IN8YD6I.jpg,Mee bandung,all,180792b167ab8bd9134f41bb55c676ba,a2ceb839c52f1ea4
../foodsg-233_cleaned\Mee rebus\X634GMW8X8M1I6WR0VQ56WEK.jpg,Mee rebus,all,15289f45029b503166b067f05f4c4c9e,a2ceb839c52f1ea4
../foodsg-233_cleaned\vegetarian bee hoon\OOZL6VC8ON1KSOGYH1L6RYFE.jpg,vegetarian bee hoon,all,6a1f6164295c0f36b24e7e75769e27ac,a47aa25d355b5aa1
../foodsg-233_cleaned\bee hoon\0ONXDTNAKU90ZN145T3AP3WM.jpg,bee hoon,all,5a2811f46367a3b760f9a9e76d099c76,a47aa25d355b5aa1
"../foodsg-233_cleaned\Bee hoon, soto\2VDYWIP13B77GFVCZCC1OH9X.jpg","Bee hoon, soto",all,ff134caeb119c124f50b832a8d727951,a7c09a37f52cd390
"../foodsg-233_cleaned\Bee hoon, soto\GAH5JQRNJ9T86ALQY5I8X5B3.jpg","Bee hoon, soto",all,e2d600592da7e75ca66bc8a54191db4f,a7c09a37f52cd390
../foodsg-233_cleaned\sliced fish soup\HL6HK4TZM1DM70P2NH3WEKIJ.jpg,sliced fish soup,all,83ffcb285c7d64ef70da28cfbff56c85,a7e1f09ac61e1b29
../foodsg-233_cleaned\sliced fish soup\X0REMV0O39HS6KJEXYIII4R6.jpg,sliced fish soup,all,6b637d50af91e0f8e618d9078f21e746,a7e1f09ac61e1b29
../foodsg-233_cleaned\Kway Teow\0I0PFMS28LSBAAA6UCFS04DC.jpg,Kway Teow,all,1d018c615bdbb5dbc2946a01c6b9bb04,aa84386aa45feaec
../foodsg-233_cleaned\Kway Teow\9H4IE0GFTJKGCE1N5YZRO90N.jpg,Kway Teow,all,d2ccd9f7e21860f797c9672c6cf45eac,aa84386aa45feaec
../foodsg-233_cleaned\lontong\1WQBY7PXVVNPEY8I013DVTV6.jpg,lontong,all,dc51cf996ef5a609854e166e62cab38d,aaa6d1cbdcb2d023
../foodsg-233_cleaned\lontong\V9KX2IXSLJ1PI7XK9HL5CWU5.jpg,lontong,all,990b01f30e2133664f5a79051c737be8,aaa6d1cbdcb2d023
../foodsg-233_cleaned\sliced fish soup\NBGISEG05WVL0BFCM6EFW9PF.jpg,sliced fish soup,all,c3477bb5013315b8ddd3be4feafc67f4,aae2aad9e1e6a1c2
../foodsg-233_cleaned\sliced fish soup\HDVB04OADEJZMO05HPM5TIJ0.jpg,sliced fish soup,all,024ad9d109fb5e511312e01190185da4,aae2aad9e1e6a1c2
../foodsg-233_cleaned\vegetarian bee hoon\Z0KW2515QYJ1PWMC8NYBZRGU.jpg,vegetarian bee hoon,all,d268b3659e9ea94ae237ad26f308d7ac,abb5d1a55432855e
../foodsg-233_cleaned\bee hoon\35NHIWY9OFQMG5TR47VSHEH1.jpg,bee hoon,all,777fbbc613cb8808bcfa280ab97cf5db,abb5d1a55432855e
../foodsg-233_cleaned\mushroom soup\UIOX4YJBJROUF4924J7Q6QLU.jpg,mushroom soup,all,9f7c0fb9fe9188d99834a94278396513,abc2c0393dd992b6
../foodsg-233_cleaned\mushroom soup\XNUU35JW7V29O8SXAUETF6J4.jpg,mushroom soup,all,0360138126abb27919c354bebe853444,abc2c0393dd992b6
../foodsg-233_cleaned\Lontong with sayur lodeh\IQOH3R8JBEF5QE9867ANY094.jpg,Lontong with sayur lodeh,all,1fbe51c5fcd7cb3de78c9a222c59efef,ad0fb733971a84c8
../foodsg-233_cleaned\lontong\HNG9DV9KA4U4HTPW80C0GB0X.jpg,lontong,all,961d6f9a63e9d517f578913218487710,ad0fb733971a84c8
../foodsg-233_cleaned\kway chap\PLAT0SUEWWUMGJ87TAN9WR48.jpg,kway chap,all,7a20aa2f16762a518df78da87a831675,ad35c1d03e4dd13a
../foodsg-233_cleaned\kway chap\8YEDJ8OK1QFXYK98JDVCQVCA.jpg,kway chap,all,4fdcb60f3087dda12c5b8f7502957cb8,ad35c1d03e4dd13a
"../foodsg-233_cleaned\Bee hoon, soto\FCOXW8P3IN881QT8V000KMU9.jpg","Bee hoon, soto",all,c3c107f1fdf6f7c94a334b8cb8f38bcc,ae95d556454a7362
../foodsg-233_cleaned\Mee soto\6MYWTL8OJ20NTOMY48VN0188.jpg,Mee soto,all,a6c772d3cc0153cf381962136468b143,ae95d556454a7362
../foodsg-233_cleaned\Mee rebus\N2R4ZTBLB1BOVGZ25PDUQ4SK.jpg,Mee rebus,all,5a80475935ccfab587348eabb8e60c64,af15d478c3e29a8c
../foodsg-233_cleaned\Mee rebus\3ELI1XTZH108W0KCYLQPK8QB.jpg,Mee rebus,all,3a070c37c89a7e276ca98246af8cabb4,af15d478c3e29a8c
../foodsg-233_cleaned\Mee soto\97QP8O8H3ODRXSPIXUTOR01B.jpg,Mee soto,all,b4b835638014553f223b776816ad7325,afc0f50bd23583cc
../foodsg-233_cleaned\Soto ayam\6HLEASKMOILFFGIGKBHX8B7N.jpg,Soto ayam,all,94f710fbb28e493e8b983db525d83763,afc0f50bd23583cc
../foodsg-233_cleaned\lontong\PZRXSPKUFS8PQ1QFVQ9M0MP0.jpg,lontong,all,f6bbbad5bf8b14b5bf62887ffa1012e2,afc880d71f6a6781
../foodsg-233_cleaned\lontong\Z7YVT82NHTCVSHY17WPD6UYB.jpg,lontong,all,a68d223651276b4acc87adb4b2d7559e,afc880d71f6a6781
../foodsg-233_cleaned\Fruit juice\XBYX8M3AY94DX1SH6T0BVZ05.jpg,Fruit juice,all,e134d955092a9485213a046f292b7198,b3cccb30cd32cc99
../foodsg-233_cleaned\Fruit juice\8MYSLQOHB2ZZW9KETZ0QUI37.jpg,Fruit juice,all,546834ea38cb5e83fd913a4b54d4a20c,b3cccb30cd32cc99
../foodsg-233_cleaned\Mee rebus\47JNNBA2ZR11E8QWJPOP9UP2.jpg,Mee rebus,all,fcf791c364ccdafb24a415b7af6a7166,b5b5f7ca40522b85
../foodsg-233_cleaned\Mee rebus\QC4MH1CIJ6RJBBDF85HMU11I.jpg,Mee rebus,all,2ad61fcc2ac02920a6494195cdf12f9e,b5b5f7ca40522b85
../foodsg-233_cleaned\Mee rebus\4LEVXF6XLN8YDPYKC4T7NSUT.jpg,Mee rebus,all,9dba0abe975585d2e7b736deb6b75598,b6b4d482e9474e0f
../foodsg-233_cleaned\Mee rebus\1US7B486EGYMBXNJLM9HPGPK.jpg,Mee rebus,all,499fd9dd04259d0393d895b52e5df09d,b6b4d482e9474e0f
../foodsg-233_cleaned\Mee rebus\UB0V2YLLL05P70116XW2VQHR.jpg,Mee rebus,all,e2b54baf4e95ac43db37acf77156e9b4,b7b4e88ad179c590
../foodsg-233_cleaned\Mee rebus\LHEY8HWDTWSEV9VRUA1RTBG3.jpg,Mee rebus,all,bd9ee13e1a42c34ef8ac461af562eac7,b7b4e88ad179c590
../foodsg-233_cleaned\canned Fruit salad\S7MK48VA79U6LKA42SQW1UPJ.jpg,canned Fruit salad,all,9cc0be9a18cb96148270f8b2b1404ab1,b7d3c02e0e3973c4
../foodsg-233_cleaned\canned Fruit salad\U8939UCW9JTLYZWK196R3USJ.jpg,canned Fruit salad,all,67aae8b6a719a292fbd32f2bb284bb22,b7d3c02e0e3973c4
../foodsg-233_cleaned\canned Fruit salad\NS7RL18AKMHSR6703SAN1YLS.jpg,canned Fruit salad,all,c10338bc83ae87a8cdc690dab739c351,b7d3c02e0e3973c4
../foodsg-233_cleaned\Nasi pattaya\YEP6GVUZLI687EFYMU5O0O82.jpg,Nasi pattaya,all,0cb0ad0c3db7ee084af74cd9d813d590,b8075f917a117327
../foodsg-233_cleaned\Nasi pattaya\5ZGZILCR40JG2T0ABEOZ81SK.jpg,Nasi pattaya,all,b8da1ea347ff165bab5326deabe5f3c3,b8075f917a117327
../foodsg-233_cleaned\Mee kuah\YFII6ITBIXNKHC6Q5VP61PH1.jpg,Mee kuah,all,deb820acbc4c0140b1dfb28b4169e788,b885bcd54d5c9459
../foodsg-233_cleaned\Mee kuah\C63PSQVIPP5FZH74AL03OVW9.jpg,Mee kuah,all,fac49f50bfe297f29798102c5e6fd78e,b885bcd54d5c9459
../foodsg-233_cleaned\Mee soto\4Y4YWN65LGCDT3KW6IRCREEC.jpg,Mee soto,all,0850be76bcb9e781effd0a7d145d2fbc,bad0adc1b596968a
../foodsg-233_cleaned\Mee soto\55VJRPZZE7D47GTOGC6KD04N.jpg,Mee soto,all,4f06beb8573ef0150109ac969a462278,bad0adc1b596968a
../foodsg-233_cleaned\Soto ayam\IG4UODIVARI2LHFFTIUKRSQG.jpg,Soto ayam,all,2861420284f55d0bbe33a65fb90c0d05,bb3ec9c032c9a533
../foodsg-233_cleaned\Mee soto\TZFDIBC5MO9GGZ0QKN88C2J5.jpg,Mee soto,all,0f3bc536a4854f08e3ace1ec4339f471,bb3ec9c032c9a533
"../foodsg-233_cleaned\Bee hoon, soto\8AFXFCLNL2ROM3Q8022MEBZR.jpg","Bee hoon, soto",all,0973dc639744a6ce27113d55f43b66a8,bb3fb0ba816c1629
../foodsg-233_cleaned\Soto ayam\ZERWIU891956OW2XDH5HL1TG.jpg,Soto ayam,all,df982cea4be0a4d4596dd9e69f3a171d,bb3fb0ba816c1629
../foodsg-233_cleaned\Mee soto\W6H5RNLEUYC1NG8TBD412VKM.jpg,Mee soto,all,48486bf282ae85b9e82632f474905c23,bbb3b4c0d1c3c09e
"../foodsg-233_cleaned\Bee hoon, soto\8E27RGUPX4OTFRP9AH9UQSUF.jpg","Bee hoon, soto",all,e9d5d7cc6e5b38ce330e9989bf9fbc4c,bbb3b4c0d1c3c09e
../foodsg-233_cleaned\hokkien prawn mee\MRYBM6DNGGR7755MCMQJLS5I.jpg,hokkien prawn mee,all,60fe4b13f10c7d5c8fac6f868b2e2835,bbccc13f1ce2c132
../foodsg-233_cleaned\hokkien prawn mee\5S8UAZL9J7HJJQE4TBGIFWK1.jpg,hokkien prawn mee,all,29bf0c6c3560285a0ce3cc35b8fcb7da,bbccc13f1ce2c132
../foodsg-233_cleaned\Mee rebus\NHNDEH0NX87U3XFOVMOM5OXH.jpg,Mee rebus,all,09968e69c4aa1a9ca679ed361f6e5f1e,bbcec43092c6cf86
../foodsg-233_cleaned\Mee rebus\3U3NKGFMU5964ZRRJPJ8VOEQ.jpg,Mee rebus,all,bf4d04c0a7abdfb6e81e36e412492dc9,bbcec43092c6cf86
../foodsg-233_cleaned\Seafood Noodles Soup\NXKEL2Z4T691IXTZWHXXB72J.jpg,Seafood Noodles Soup,all,3e72a6faf32adace6b7fb80e447f42e2,bbd0dcc03b6a9926
../foodsg-233_cleaned\bee hoon\TBL8UPC1B11OIGJFM76BP25N.jpg,bee hoon,all,26e47d954597b5410497ea62e4de8c3c,bbd0dcc03b6a9926
../foodsg-233_cleaned\bee hoon\RCDLSXK355E6DVKDPZPRB90H.jpg,bee hoon,all,f531e262254516d6c4c38f8ea9e70f49,bbf7e468c1258037
../foodsg-233_cleaned\satay bee hoon\8NCVFB84MK68GBNF4MZILDZZ.jpg,satay bee hoon,all,7c5829c339b5cc8556bdd63ce2dc567b,bbf7e468c1258037
../foodsg-233_cleaned\Prawn Noodle\9WI76T1J5EDEJJRLTG0MT0MX.jpg,Prawn Noodle,all,c814abd52e03d1ca9feab6567b37225e,bc91c756c07c1f61
../foodsg-233_cleaned\Prawn Noodle\7V85MPW4YNZQAQAQHFJOIH4N.jpg,Prawn Noodle,all,2505bf9c0d5ceeb7583ab9969c83499b,bc91c756c07c1f61
../foodsg-233_cleaned\Mee soto\O90TS2Q5VEOULY4GISAYZE8S.jpg,Mee soto,all,ef1c243623fca689c1102d48ca2de020,be8574c6c79f4070
"../foodsg-233_cleaned\Bee hoon, soto\3F67YWC953FX09HT14MO1EVO.jpg","Bee hoon, soto",all,44d59c9a30f7a0e4d1d0dc9076f7131d,be8574c6c79f4070
../foodsg-233_cleaned\Fish Ball Noodles\K9GDPSS769ZJSALPLHUSRLBQ.jpg,Fish Ball Noodles,all,ce86fbd637e1a2b354f5babb2dd5082a,bf9cd0c5c035a972
../foodsg-233_cleaned\bak chor mee\RNEKOEDFDHBEU7R31IC4AWVW.jpg,bak chor mee,all,496f7ee4bec671eebbbbaf39db8e554a,bf9cd0c5c035a972
../foodsg-233_cleaned\satay bee hoon\PWU9SHQMX7KKWT877OK879TM.jpg,satay bee hoon,all,01def402e85e3616b5a3ebae71ccec07,bfc1f804d3cc0673
../foodsg-233_cleaned\satay bee hoon\30Y7YZ8RPRX35LBRQN7AW9ZZ.jpg,satay bee hoon,all,1872a0294b9286fc563f9591a03212b3,bfc1f804d3cc0673
../foodsg-233_cleaned\rock melon\4DSLD993YMEG9T4ND240VH0M.jpg,rock melon,all,863220dd6d0bb8c79d72eecbb080c67c,bfc4c0b90f3cb681
../foodsg-233_cleaned\rock melon\2ILONUHQMKY505OG0H332UNY.jpg,rock melon,all,e690bcf3c650bff01c06e0b442b585b9,bfc4c0b90f3cb681
../foodsg-233_cleaned\mee pok\PX34L55ZXQ3YGU5FGEFFLIIK.jpg,mee pok,all,c7571b88c6e940c74aad0a13c413269c,c0df57fa07a885c1
../foodsg-233_cleaned\bak chor mee\UPTKBO38L68R656RPG6CZMDM.jpg,bak chor mee,all,66ff8aa2379ba576bdcb66934eb6345c,c0df57fa07a885c1
"../foodsg-233_cleaned\Bee hoon, soto\82YT8LHG9XQ3K4JHQQ1SN21T.jpg","Bee hoon, soto",all,40ba6e73097b78dd2093e2070811bad8,c0f917c298a739c7
../foodsg-233_cleaned\Soto ayam\SG4XZPCE04B55QIK4L1M7BHN.jpg,Soto ayam,all,04d806db2de0e9fe3b75d811dcb4a26e,c0f917c298a739c7
../foodsg-233_cleaned\Fried Noodles\97FRGQ1B9H9SGF4R5WTZFZ0L.jpg,Fried Noodles,all,6fdfb9e2085e33ed77b552bb09e94b55,c1fc0e603da7649e
"../foodsg-233_cleaned\Mee siam, fried\OIQPO3IWH2PWO6V9ATDYDJ33.jpg","Mee siam, fried",all,d7af11e43c8b90e1836ebf23ba771ba6,c1fc0e603da7649e
../foodsg-233_cleaned\mee pok\LWOIOKIGYHB2H3WC67URV5Z3.jpg,mee pok,all,00c0321314ea3d13ada540a9c669630d,c398fa39711298fa
../foodsg-233_cleaned\bak chor mee\G0D7VY3G89GDEWXRF0AJ9DWW.jpg,bak chor mee,all,ecb3b51d18527709b8bfb98f873f03d9,c398fa39711298fa
../foodsg-233_cleaned\lontong\M8TSUO6948O1V8K3X5ZXAJEW.jpg,lontong,all,99766839a43d4e9401f385f62d10eefa,c40c7e27799c64d3
../foodsg-233_cleaned\Lontong with sayur lodeh\P518M15U87N2EJGZV5D362ET.jpg,Lontong with sayur lodeh,all,d72eda78a1e83400fd766308d271c7d1,c40c7e27799c64d3
../foodsg-233_cleaned\fried prawn\VNIPTFDU50MW8KWVX47S4P9X.jpg,fried prawn,all,c7986bde27bde9946dfdbef4f81122b8,c4e9577a45464e39
../foodsg-233_cleaned\drunken prawn\XV3QMUFY6L0PSAXX0LOKMRCG.jpg,drunken prawn,all,ac514648c4a420ffbcf08e2ea9fe3092,c4e9577a45464e39
../foodsg-233_cleaned\Lontong with sayur lodeh\JTI57Y4SXAEN6HB83G8DNJLU.jpg,Lontong with sayur lodeh,all,3ca09e63526e68972b1be3511aecbc4f,c5d32d5c3ac60799
../foodsg-233_cleaned\Lontong with sayur lodeh\U2LO81888RA65V8MR7EFTGBX.jpg,Lontong with sayur lodeh,all,2daf032914137864e8b3d053ad094533,c5d32d5c3ac60799
../foodsg-233_cleaned\Grapefruit\Y62L28QLKBSLA3NKRVG4D1UN.jpg,Grapefruit,all,643d0e220acc7e4c3d7868406ca0e8e4,ca9399aa5b8aa699
../foodsg-233_cleaned\Grapefruit\9ZNSPPBD9SZ1OZA08GYPUHZL.jpg,Grapefruit,all,dc0ed55a50c3e28dad444cabdf7c26bb,ca9399aa5b8aa699
../foodsg-233_cleaned\bak chor mee\E3YRPCH67QO47EDGDYFN7T1X.jpg,bak chor mee,all,375097e2a4ed6f71ac3e369007ffeba5,cbd62e643c495e07
../foodsg-233_cleaned\bak chor mee\TV842L8XYUQVVE8OBD2OZS77.jpg,bak chor mee,all,09838524a265f2e3dbe1af7738d7d386,cbd62e643c495e07
"../foodsg-233_cleaned\Mee siam, fried\IWG2UWYGTBS0843LEO1D7STN.jpg","Mee siam, fried",all,3c02f13fefe56f11fe8210453078c2e8,cc4640fe8eec9f81
"../foodsg-233_cleaned\Bee hoon, goreng\3ZTC3MFNSBMCFRE4IPIAKUMV.jpg","Bee hoon, goreng",all,30e9c6da9e23d10a4286050d1e5b65ef,cc4640fe8eec9f81
../foodsg-233_cleaned\bee hoon\4I5YY1G40YWU0PGKLP1SG88J.jpg,bee hoon,all,2319dc018d8aced991fa5e0761fa2898,cd50e2cbb6551b98
"../foodsg-233_cleaned\Bee hoon, goreng\6K3E66RW971JHFCQ2VDA60AB.jpg","Bee hoon, goreng",all,3146fc4ac39192da08e67ad7bdbde2c6,cd50e2cbb6551b98
"../foodsg-233_cleaned\Bee hoon, soto\HR9NMYQN0ZIRPP5G8V8SX905.jpg","Bee hoon, soto",all,16fdb540c9bbe79c9c96f7e38a2b5cff,cdb136ca98c1998f
../foodsg-233_cleaned\Mee soto\V0YVUUYOS7YDDX04LL56JY5D.jpg,Mee soto,all,8ebf36befc073a9ef51fd801a3537072,cdb136ca98c1998f
../foodsg-233_cleaned\Mee soto\GSWNRQXIJLK780N4C74U45FP.jpg,Mee soto,all,5e93f0ce3ce7a18042f12bf42e68e9bd,ce3973c6c8d8701e
../foodsg-233_cleaned\Mee soto\3S3EA3NEZ5ESRNNOO8S729RF.jpg,Mee soto,all,85f22031f9a1640105ff31c01bf51e98,ce3973c6c8d8701e
