path,label,split,pred_class,confidence,flag_reason
../foodsg-233\Apple\Z4NZIXY6M5KRJF8V2AMH97OZ.jpg,Apple,all,Apple,0.19381164,low_confidence
../foodsg-233\Apricot\177H2ROXW8IWT3E3V8BEL57G.jpg,Apricot,all,Persimmon,0.24231808,low_confidence
../foodsg-233\Apricot\1ZAQX6YXJLPS064TM260IZCH.jpg,Apricot,all,Apricot,0.09867799,low_confidence
../foodsg-233\Apricot\2GSK5SKYJ30MSFROAXEJNJ7P.jpg,Apricot,all,Apricot,0.20378299,low_confidence
../foodsg-233\Apricot\5FRSLQ8MPPQNGGDDBQEESTCQ.jpg,Apricot,all,roasted chicken,0.15987626,low_confidence
../foodsg-233\Apricot\5IT2GTD94HJ0NSLJ9L7YRQVR.jpg,Apricot,all,"Rice, chicken katsu with Japanese curry",0.27934945,low_confidence
../foodsg-233\Apricot\616B8GVG0RMEDBGWRRUVUSK4.jpg,Apricot,all,Sweets,0.16842383,low_confidence
../foodsg-233\Apricot\65HI69089WLH39HJ22LJHUJT.jpg,Apricot,all,Fruit juice,0.22658199,low_confidence
../foodsg-233\Apricot\6KSB1FTJP34OIZMYC0T610E2.jpg,Apricot,all,cake,0.2785173,low_confidence
../foodsg-233\Apricot\8VAIS1A7NGCD0KFOFEDAGW5Y.jpg,Apricot,all,"Don, chicken teriyaki",0.2631478,low_confidence
../foodsg-233\Apricot\EPCKJXA6WUBTMG4CXVXPJJPM.jpg,Apricot,all,Sweets,0.20769584,low_confidence
../foodsg-233\Apricot\ESMJ0KYVAR806IJ0CWUDSLHA.jpg,Apricot,all,Apricot,0.1943886,low_confidence
../foodsg-233\Apricot\EWMZ7K8Z3QKAU0E7XOMECW5P.jpg,Apricot,all,Sweets,0.27359727,low_confidence
../foodsg-233\Apricot\HAM1K3EVVVLZ1XDSDPW45L4R.jpg,Apricot,all,orange,0.2583127,low_confidence
../foodsg-233\Apricot\I84VNGH8XTV6QWDWWPRPPO4V.jpg,Apricot,all,preserved fruit snacks,0.20956288,low_confidence
../foodsg-233\Apricot\J5POGWV76S0CTQC3LXU0UV20.jpg,Apricot,all,Apricot,0.24951027,low_confidence
../foodsg-233\Apricot\KIMIC25S314054EQU9RSN2O9.jpg,Apricot,all,Soft boiled eggs,0.19416448,low_confidence
../foodsg-233\Apricot\LT35U5KZRQ8HC466D825OKDD.jpg,Apricot,all,Sweets,0.15912199,low_confidence
../foodsg-233\Apricot\M4BXNM1NCQVJ31T2LH29C5SP.jpg,Apricot,all,drunken prawn,0.1917455,low_confidence
../foodsg-233\Apricot\Q6J8JLTOV2B4Z2R425PJ6JCI.jpg,Apricot,all,Snacks and Chips,0.18804012,low_confidence
../foodsg-233\Apricot\QEPMC5DCS1FQM5YMRU1ACGMJ.jpg,Apricot,all,Snacks and Chips,0.13210995,low_confidence
../foodsg-233\Apricot\RW3L8Z8W1DREMJISANJW30Z9.jpg,Apricot,all,rock melon,0.18924701,low_confidence
../foodsg-233\Apricot\TNNVG6WZAOLRZYHESN846OKA.jpg,Apricot,all,Sweets,0.21456815,low_confidence
../foodsg-233\Apricot\XM44B9RTDY46F24BVX5DXSYK.jpg,Apricot,all,Sweets,0.29885626,low_confidence
../foodsg-233\Apricot\YB0N9RWTKL9T9S7ZV223GHEE.jpg,Apricot,all,mango pudding,0.22370669,low_confidence
../foodsg-233\Apricot\YYEDL1SGVSSXJ0AKWC4C2YPC.jpg,Apricot,all,pancake,0.28001127,low_confidence
../foodsg-233\Apricot\ZS9PQN3B1HDWQ0N7Y0GB5M5O.jpg,Apricot,all,preserved fruit snacks,0.25774828,low_confidence
../foodsg-233\assam pedas\009XLU7PXZUIUY9FLGAH7JX0.jpg,assam pedas,all,tom yum noodle soup,0.21537216,low_confidence
../foodsg-233\assam pedas\03J9FGMU30LZA0HP2E398QZT.jpg,assam pedas,all,assam pedas,0.27664268,low_confidence
../foodsg-233\assam pedas\05HDMZFF0VB0O9BGT8XBL7J4.jpg,assam pedas,all,tom yum noodle soup,0.27705562,low_confidence
../foodsg-233\assam pedas\07R7DH4RIVB9FXWH0M757WXJ.jpg,assam pedas,all,Chinese fritters,0.1158064,low_confidence
../foodsg-233\assam pedas\0BXZAFF5137IKXBB2UJNPA2A.jpg,assam pedas,all,steamed grouper,0.22260836,low_confidence
../foodsg-233\assam pedas\0C4M0UMEANUMNUOUSIWYDEO4.jpg,assam pedas,all,begedil,0.12324386,low_confidence
../foodsg-233\assam pedas\0ETX71CFMCD2S664UYGWRWX0.jpg,assam pedas,all,Laksa,0.28167075,low_confidence
../foodsg-233\assam pedas\0Q7SNJGXHQN7B6HLRJK3ZJD7.jpg,assam pedas,all,tom yum noodle soup,0.19589475,low_confidence
../foodsg-233\assam pedas\13SY4FV011YZA3SLNKWXWUXX.jpg,assam pedas,all,drunken prawn,0.19369064,low_confidence
../foodsg-233\assam pedas\1BJEVV47MMFINXUUHE6992NL.jpg,assam pedas,all,assam pedas,0.26123965,low_confidence
../foodsg-233\assam pedas\1KXZPJGIV3RCJ5TEOPKP1DSU.jpg,assam pedas,all,tom yum noodle soup,0.12927227,low_confidence
../foodsg-233\assam pedas\26WD8GVUOMEOOXWFK97UR0KH.jpg,assam pedas,all,assam pedas,0.17281958,low_confidence
../foodsg-233\assam pedas\2D61KPXLGKY95AG90OIN81VI.jpg,assam pedas,all,mixed vegetables,0.29178157,low_confidence
../foodsg-233\assam pedas\2PQR4FRSC1EL28WYQVQQCQZS.jpg,assam pedas,all,Claypot Rice,0.2707837,low_confidence
../foodsg-233\assam pedas\2RHYF79YRGYB32K9TY1GYA6X.jpg,assam pedas,all,Laksa,0.2601902,low_confidence
../foodsg-233\assam pedas\35F56WFIP8ORVV908HQ83BD0.jpg,assam pedas,all,assam pedas,0.2996135,low_confidence
../foodsg-233\assam pedas\3K6SI51ACU7SHKOJHAQB5TJ0.jpg,assam pedas,all,assam pedas,0.25287867,low_confidence
../foodsg-233\assam pedas\3QLO6K0O40K446P8M80YBKK5.jpg,assam pedas,all,assam pedas,0.24899822,low_confidence
../foodsg-233\assam pedas\3ZTE89CZU5G361V30PZFQDNG.jpg,assam pedas,all,rojak,0.13699946,low_confidence
../foodsg-233\assam pedas\5ABJHPNERIAKZYOJNURKIEE9.jpg,assam pedas,all,satay bee hoon,0.26866972,low_confidence
../foodsg-233\assam pedas\5ML4YUFNFMJ2JLEZ2YFFH5GW.jpg,assam pedas,all,assam pedas,0.24186094,low_confidence
../foodsg-233\assam pedas\68BXAOTS1FR1QZCRX4U2OTT4.jpg,assam pedas,all,assam pedas,0.28528127,low_confidence
../foodsg-233\assam pedas\691YGZJLDZCOZRBOFBZGS6CH.jpg,assam pedas,all,assam pedas,0.2214922,low_confidence
../foodsg-233\assam pedas\78IWD2M8E0OS4WEBQLROS2PK.jpg,assam pedas,all,assam pedas,0.22881153,low_confidence
../foodsg-233\assam pedas\7OZW7ICB5P8HLNA9MCC98BZ5.jpg,assam pedas,all,"Miso ramen, with fishcake",0.18663202,low_confidence
../foodsg-233\assam pedas\7QU5GDPJ6HD96FP17M91SBV9.jpg,assam pedas,all,mixed vegetables,0.1029386,low_confidence
../foodsg-233\assam pedas\7TG8LE0S45BOV5LZ6XNID3W7.jpg,assam pedas,all,mixed vegetables,0.16693187,low_confidence
../foodsg-233\assam pedas\8F50VX3YRHWB7IWT0PT1V8YY.jpg,assam pedas,all,fried prawn,0.12221607,low_confidence
../foodsg-233\assam pedas\8H6OUCAQ9CFHOPKUNM6YFX3F.jpg,assam pedas,all,assam pedas,0.27899006,low_confidence
../foodsg-233\assam pedas\8H84GVNDLXOCV4F9CV9T9RZ7.jpg,assam pedas,all,assam pedas,0.16347945,low_confidence
../foodsg-233\assam pedas\8UUY69WRSX4N09CMXNYXA6TY.jpg,assam pedas,all,assam pedas,0.24631703,low_confidence
../foodsg-233\assam pedas\98PU51EFJZ27WBJSN30MWXET.jpg,assam pedas,all,"Bee hoon, goreng",0.12861885,low_confidence
../foodsg-233\assam pedas\9I1T3DS36J1E8FSFEIUD73S8.jpg,assam pedas,all,sambal,0.19212325,low_confidence
../foodsg-233\assam pedas\9NV3Q3NU3R2JHO6G046P8ATT.jpg,assam pedas,all,assam pedas,0.18846954,low_confidence
../foodsg-233\assam pedas\9WR575IHMFTHIVXM9JBALYH9.jpg,assam pedas,all,tom yum noodle soup,0.27830473,low_confidence
../foodsg-233\assam pedas\9YZNYW4Q8DQ9A3EMHFYUEPCW.jpg,assam pedas,all,chicken masala,0.17200488,low_confidence
../foodsg-233\assam pedas\9ZQNYCIIJCUEWDW68LTGFECF.jpg,assam pedas,all,tom yum noodle soup,0.1403301,low_confidence
../foodsg-233\assam pedas\ANHXAGT69UOEDEHQSXHJKKQU.jpg,assam pedas,all,"Rice, with dakgalbi",0.2647108,low_confidence
../foodsg-233\assam pedas\B8B9C4RIM4J5H3AWQP6ZOM1R.jpg,assam pedas,all,assam pedas,0.25970462,low_confidence
../foodsg-233\assam pedas\B8VI9PZZHO5LG03RMHYJZK3N.jpg,assam pedas,all,tom yum noodle soup,0.27881715,low_confidence
../foodsg-233\assam pedas\BB61YAO5UPTAUUBFH1ETFQSL.jpg,assam pedas,all,assam pedas,0.19306436,low_confidence
../foodsg-233\assam pedas\BH43XYWNK54QVS04SHM1X0YQ.jpg,assam pedas,all,assam pedas,0.2810438,low_confidence
../foodsg-233\assam pedas\BLO20ADYEFTGHHV3CCYXQ5RD.jpg,assam pedas,all,tom yum noodle soup,0.2860981,low_confidence
../foodsg-233\assam pedas\BZO1X07E0JC5VYITNGGBAA0E.jpg,assam pedas,all,assam pedas,0.22692467,low_confidence
../foodsg-233\assam pedas\C09U18HA214W5TWYV8OGQE9E.jpg,assam pedas,all,tom yum noodle soup,0.24782458,low_confidence
../foodsg-233\assam pedas\CA6AZ00Z15JLVHLFIARHXUQF.jpg,assam pedas,all,assam pedas,0.112522475,low_confidence
../foodsg-233\assam pedas\CHK927GMQ7YEJSPDQXMXWJME.jpg,assam pedas,all,cheng tng,0.13036704,low_confidence
../foodsg-233\assam pedas\CIFRNHF73MY1KLZ53KRE5MKF.jpg,assam pedas,all,assam pedas,0.23857084,low_confidence
../foodsg-233\assam pedas\CLA2AMO66BI982PQ7TZ5V072.jpg,assam pedas,all,Prawn Noodle,0.1570148,low_confidence
../foodsg-233\assam pedas\CYAV4A0TIMD6T15BQCD2YY5Q.jpg,assam pedas,all,chicken masala,0.14412777,low_confidence
../foodsg-233\assam pedas\D5SR4YCEOIFVMHJZYD61ZVHR.jpg,assam pedas,all,assam pedas,0.273747,low_confidence
../foodsg-233\assam pedas\DD67QVKG732FHSY42VY4I2NY.jpg,assam pedas,all,Lontong with sayur lodeh,0.26958692,low_confidence
../foodsg-233\assam pedas\DQ1NTYQMWWTWCVI1DELCM2NM.jpg,assam pedas,all,assam pedas,0.23226826,low_confidence
../foodsg-233\assam pedas\DV96G8R9LIY39XS6P0Y3A02R.jpg,assam pedas,all,satay bee hoon,0.2971125,low_confidence
../foodsg-233\assam pedas\DXLZ49BTZDVKTN9H0906T53S.jpg,assam pedas,all,chicken soup,0.24372673,low_confidence
../foodsg-233\assam pedas\EECLOKT9LE659COI5RGA7IMA.jpg,assam pedas,all,tom yum noodle soup,0.2141748,low_confidence
../foodsg-233\assam pedas\EH1O7859TBL9RWAAP3SMXMO9.jpg,assam pedas,all,drunken prawn,0.25247034,low_confidence
../foodsg-233\assam pedas\ESDBE9A0BHKNXZ6W9WFEJXEB.jpg,assam pedas,all,tom yum noodle soup,0.29491907,low_confidence
../foodsg-233\assam pedas\EYU4QULOCHOP7KYE6019ZRBL.jpg,assam pedas,all,assam pedas,0.14088115,low_confidence
../foodsg-233\assam pedas\FQYQTVE4S6YXD0UF3GDLHFCB.jpg,assam pedas,all,chicken masala,0.23751742,low_confidence
../foodsg-233\assam pedas\FS6JMTADTJ1Z102JNE3FNTTU.jpg,assam pedas,all,Laksa,0.19223253,low_confidence
../foodsg-233\assam pedas\FSPA0IMRI1NF7CV1KV06LX1H.jpg,assam pedas,all,Katsudon,0.1470336,low_confidence
../foodsg-233\assam pedas\FUF3FES98TF146KMGQEGZOG4.jpg,assam pedas,all,Nasi pattaya,0.19815458,low_confidence
../foodsg-233\assam pedas\FYD0JFBO251QOQBARPOZFBQ9.jpg,assam pedas,all,fried prawn,0.11139035,low_confidence
../foodsg-233\assam pedas\GMBTCIAH4BFP8JFK3HMBQ0VG.jpg,assam pedas,all,drunken prawn,0.27550563,low_confidence
../foodsg-233\assam pedas\GNY5IRYIFMWA4L5BC5SV34SD.jpg,assam pedas,all,drunken prawn,0.25507075,low_confidence
../foodsg-233\assam pedas\GPGL948UMGZUTS58A9UYDT21.jpg,assam pedas,all,satay bee hoon,0.282776,low_confidence
../foodsg-233\assam pedas\GXC8ZFMNB0ARI26UQ96HG9TL.jpg,assam pedas,all,assam pedas,0.26717108,low_confidence
../foodsg-233\assam pedas\HHR8IZ698TGJ07SF1L72Y24Y.jpg,assam pedas,all,chicken masala,0.253971,low_confidence
../foodsg-233\assam pedas\HKAICL2V56P4FVEKIR49AZZP.jpg,assam pedas,all,assam pedas,0.16142106,low_confidence
../foodsg-233\assam pedas\I50OEBKIZ7YOR696AR46DZE3.jpg,assam pedas,all,Laksa,0.27971962,low_confidence
../foodsg-233\assam pedas\IGTHVPUSB0QFBIR7DC3P6RYA.jpg,assam pedas,all,lamb chops,0.1258749,low_confidence
../foodsg-233\assam pedas\IK2DZ4I6XARF7VPQXSOCG2D6.jpg,assam pedas,all,"Rice, with dakgalbi",0.25261685,low_confidence
../foodsg-233\assam pedas\IPFVM7SLVVTNXEIXHB7W9PJY.jpg,assam pedas,all,sambal stingray,0.23923962,low_confidence
../foodsg-233\assam pedas\IXZOLU2XIGLMXMA1PKJGRU3N.jpg,assam pedas,all,Lontong with sayur lodeh,0.15787971,low_confidence
../foodsg-233\assam pedas\J8RYZT9M4B9TH13D3RCEB9KB.jpg,assam pedas,all,pig organ soup,0.15047194,low_confidence
../foodsg-233\assam pedas\JASLM6FEPXO20BCD3EFDUS8I.jpg,assam pedas,all,assam pedas,0.23447533,low_confidence
../foodsg-233\assam pedas\JLIT2D4OIA26EE7I04N98K4J.jpg,assam pedas,all,vegetable soup,0.23368387,low_confidence
../foodsg-233\assam pedas\JLT0ZBJDHX74D6I6S0JTN6LA.jpg,assam pedas,all,sambal,0.28169587,low_confidence
../foodsg-233\assam pedas\JS64Y8UMMA6A1DK4JP2Y5G86.jpg,assam pedas,all,assam pedas,0.10271755,low_confidence
../foodsg-233\assam pedas\JY970FT37P6EIEEW0YLYXGL8.jpg,assam pedas,all,"Rice, with dakgalbi",0.10282032,low_confidence
../foodsg-233\assam pedas\KE7OR18ONTR7EPU3CB8OV5ZN.jpg,assam pedas,all,assam pedas,0.28957388,low_confidence
../foodsg-233\assam pedas\KSMRQ7C4V8TVW4NIT91H3AAD.jpg,assam pedas,all,Bibimbap,0.19305229,low_confidence
../foodsg-233\assam pedas\KZ0PXKSVLPZV781CGVBIBZE5.jpg,assam pedas,all,assam pedas,0.1958816,low_confidence
../foodsg-233\assam pedas\LFTIP0V6K1UG7QUEBFDSHG48.jpg,assam pedas,all,assam pedas,0.18002297,low_confidence
../foodsg-233\assam pedas\LIW3K1ADWXKNZ34GYFOQ6UDV.jpg,assam pedas,all,assam pedas,0.2570332,low_confidence
../foodsg-233\assam pedas\LQ2U00EYXVU85U77M7E66BF3.jpg,assam pedas,all,Laksa,0.2812957,low_confidence
../foodsg-233\assam pedas\MRJSAL6GMLYQUD9KD5RCII29.jpg,assam pedas,all,assam pedas,0.29591066,low_confidence
../foodsg-233\assam pedas\MYVD4K0240AHZOC9AV5Q1OSD.jpg,assam pedas,all,Laksa,0.20874408,low_confidence
../foodsg-233\assam pedas\NJK26RS298S0PMUL5FGKE0P4.jpg,assam pedas,all,Claypot Rice,0.1542999,low_confidence
../foodsg-233\assam pedas\OBGKAYQ1AHX8IE8OS5CDIC6I.jpg,assam pedas,all,assam pedas,0.28181988,low_confidence
../foodsg-233\assam pedas\OYCT9RD5EEYWVHCC1S3OAFVM.jpg,assam pedas,all,assam pedas,0.14563857,low_confidence
../foodsg-233\assam pedas\PKSRE6VAK8R30LUONKLZ7QLO.jpg,assam pedas,all,assam pedas,0.22136872,low_confidence
../foodsg-233\assam pedas\PTPT3I5FV0DZPQR39UMTDNN7.jpg,assam pedas,all,mixed vegetables,0.13595998,low_confidence
../foodsg-233\assam pedas\QAMFYQJF7LTSSFO47DC7PGQ5.jpg,assam pedas,all,assam pedas,0.24916716,low_confidence
../foodsg-233\assam pedas\QDBSZS0Z9H95GQL1QILEZD9F.jpg,assam pedas,all,assam pedas,0.23411821,low_confidence
../foodsg-233\assam pedas\RFQ7V1QD46KN8BNEY5LC43HA.jpg,assam pedas,all,ice kacang,0.20138958,low_confidence
../foodsg-233\assam pedas\RL2S7PT5GBIBG1VP6TOLRQT2.jpg,assam pedas,all,satay bee hoon,0.285731,low_confidence
../foodsg-233\assam pedas\RXB95BS66XNHM7RUG93CCJJE.jpg,assam pedas,all,sambal,0.24911983,low_confidence
../foodsg-233\assam pedas\SU3USID47MUOB2DW9DJHE12N.jpg,assam pedas,all,tom yum noodle soup,0.22687535,low_confidence
../foodsg-233\assam pedas\SUDMLF6YEJILXJ5FPPKN02N6.jpg,assam pedas,all,assam pedas,0.29793605,low_confidence
../foodsg-233\assam pedas\SUMX2PBMVK6EWH3UK95LY5MA.jpg,assam pedas,all,chicken masala,0.25647718,low_confidence
../foodsg-233\assam pedas\SYGQHI7EZC3XPC5I1DTS6R2Q.jpg,assam pedas,all,assam pedas,0.12872119,low_confidence
../foodsg-233\assam pedas\TKFK7X7U4OM9MZLDXXBTY312.jpg,assam pedas,all,"Miso ramen, with fishcake",0.13816874,low_confidence
../foodsg-233\assam pedas\TO4G7OKDVJ43N1W576SZYSRC.jpg,assam pedas,all,chicken soup,0.27295184,low_confidence
../foodsg-233\assam pedas\UKLIGLKG8P5NPD79MUJ4OOWL.jpg,assam pedas,all,tom yum noodle soup,0.15111616,low_confidence
../foodsg-233\assam pedas\ULQUI0JEFHGXO5I17R5SRWH2.jpg,assam pedas,all,chicken soup,0.12346468,low_confidence
../foodsg-233\assam pedas\UNW6QCW4ZAQP2IHVUMCEGOP1.jpg,assam pedas,all,satay bee hoon,0.19021133,low_confidence
../foodsg-233\assam pedas\UTRO7S5VV26C8YM7IS6DTLLU.jpg,assam pedas,all,tom yum noodle soup,0.18687129,low_confidence
../foodsg-233\assam pedas\V3AI6A2E1P7OTIX57O0UJC9J.jpg,assam pedas,all,Mee kuah,0.17809777,low_confidence
../foodsg-233\assam pedas\V4U59ND7ATHDWYE6EDD7SAQO.jpg,assam pedas,all,har cheong gai,0.23043728,low_confidence
../foodsg-233\assam pedas\W1S3150C1318YHG8J784DVP1.jpg,assam pedas,all,assam pedas,0.17745374,low_confidence
../foodsg-233\assam pedas\WFBQ2DNPMDOKJ89ID7BF2TQN.jpg,assam pedas,all,sambal,0.1398795,low_confidence
../foodsg-233\assam pedas\WFX2MJ2NCK3L8YPN6KJJ3XAA.jpg,assam pedas,all,chawanmushi,0.20804481,low_confidence
../foodsg-233\assam pedas\WHTTYGB1TPJ2QYCTYTRFZ2YM.jpg,assam pedas,all,Lontong with sayur lodeh,0.10341795,low_confidence
../foodsg-233\assam pedas\WLB6MEXR0EM6CL1GD6XFTPZT.jpg,assam pedas,all,assam pedas,0.20178027,low_confidence
../foodsg-233\assam pedas\WLFSLUZVOEAOH7852UXFX518.jpg,assam pedas,all,assam pedas,0.12328014,low_confidence
../foodsg-233\assam pedas\WWL5FSKDWQVGZHXYS4F2ZKY6.jpg,assam pedas,all,assam pedas,0.2850986,low_confidence
../foodsg-233\assam pedas\X12Q7UVP49MILHKHDO0HXT17.jpg,assam pedas,all,Lontong with sayur lodeh,0.28621638,low_confidence
../foodsg-233\assam pedas\XG41EJ601VL4GZ0QASFT1DIA.jpg,assam pedas,all,assam pedas,0.20251727,low_confidence
../foodsg-233\assam pedas\Y96O3ANZ3TWTZP7GXQWCPVV7.jpg,assam pedas,all,sambal stingray,0.29399768,low_confidence
../foodsg-233\assam pedas\YE9POAZ5OOMZ7FUJW239KS3I.jpg,assam pedas,all,drunken prawn,0.19591649,low_confidence
../foodsg-233\assam pedas\YPTRNQN3KMCDMQYPU1D6MI3G.jpg,assam pedas,all,assam pedas,0.2685941,low_confidence
../foodsg-233\assam pedas\Z13CCFCOTL2XSY81PZ5MNCAI.jpg,assam pedas,all,sambal,0.10231097,low_confidence
../foodsg-233\assam pedas\Z5M7PTWFWBWHNTCZ9NEWJ6YR.jpg,assam pedas,all,assam pedas,0.25827947,low_confidence
../foodsg-233\Avocados\07DDK8BGYMX6WVANVOPBLM44.jpg,Avocados,all,Persimmon,0.2261745,low_confidence
../foodsg-233\Avocados\32COEB26PEVGLAASOJP1Y6AZ.jpg,Avocados,all,pineapple,0.15792795,low_confidence
../foodsg-233\Avocados\3HBSWFT63KEQ46F2BDUZSI8Q.jpg,Avocados,all,pineapple,0.25591537,low_confidence
../foodsg-233\Avocados\3KZBFBX5W2BZWNTLSI908F4N.jpg,Avocados,all,Chinese fritters,0.18506444,low_confidence
../foodsg-233\Avocados\3QIA8MIZNLPRA64A1PGKSUDI.jpg,Avocados,all,Avocados,0.21272367,low_confidence
