path,label,split,outlier_score
../foodsg-233\parfait\SRV4UWSYJQ78GGN3ZTF7MX7A.jpg,parfait,all,-0.5449890492817056
../foodsg-233\Kopi Teh Milo\NTM9RTGLP6M1KBMUOFZWPMMM.jpg,Kopi Teh Milo,all,-0.5449663857571795
../foodsg-233\Burger\63DRQ9R67G61XE6MLEMJY09E.jpg,Burger,all,-0.544521871793195
../foodsg-233\pomegranate\0E8XBVE49KQJJ38V40H61C2Q.jpg,pomegranate,all,-0.5444929032107667
../foodsg-233\egg tart\6L7H4CPG8GCAT182CKSSZCHL.jpg,egg tart,all,-0.5443781265765684
../foodsg-233\kiwi\SC4WNFXSYFVNFWROQ8LXA808.jpg,kiwi,all,-0.5440608727335797
../foodsg-233\watermelon\FL6IEQIDJPIAXCD679DLC5C7.jpg,watermelon,all,-0.5440453964605707
../foodsg-233\rock melon\EREICJRIJASXKUFUW3ENA806.jpg,rock melon,all,-0.5437510161557421
../foodsg-233\chicken masala\DTMSUVLX8KPWMVRNC07TQMEB.jpg,chicken masala,all,-0.5435566878174098
../foodsg-233\pomegranate\96V5N90H405RL0HN80RN6YF5.jpg,pomegranate,all,-0.5435009437058342
../foodsg-233\White Bread\W3AHAOP1A2NW5T4D5WQZR70Z.jpg,White Bread,all,-0.5433565644234349
../foodsg-233\rambutan\X9TAB2ZTQBHCBBUUA64AHG7Z.jpg,rambutan,all,-0.543092490949425
../foodsg-233\White Bread\T2IX6Q8C6RKPPXZLWEX92JX9.jpg,White Bread,all,-0.542943259687831
../foodsg-233\Ban Mian\1H4IQS14QP36DFQBK5CQOW8P.jpg,Ban Mian,all,-0.5426679848296115
../foodsg-233\popcorn\T30V4XR7N0J46TBO796JP3C2.jpg,popcorn,all,-0.5420019816571644
../foodsg-233\popcorn\XJY6EAN5YKYV3K4YU3NWKU7K.jpg,popcorn,all,-0.541743059465622
../foodsg-233\rambutan\73VMLDKZHU1JLV0DD5AEEMRJ.jpg,rambutan,all,-0.5416733449612371
../foodsg-233\Burger\G115U4POX8VY7C61AUX2X3DE.jpg,Burger,all,-0.5412633752495186
../foodsg-233\tau suan\A6VLOO3ZWQP5VTPQTMW1J9V3.jpg,tau suan,all,-0.540774811024697
../foodsg-233\chawanmushi\SJCBKEIU3C028V1YVUNN55PF.jpg,chawanmushi,all,-0.5407222009540846
../foodsg-233\popcorn\K6TGN0DVIBAE3OGQ3VEW9GLV.jpg,popcorn,all,-0.5407208110099839
../foodsg-233\Mee kuah\M3DHX36VW8LHLZ19L5SPEQ9N.jpg,Mee kuah,all,-0.5405155899027698
../foodsg-233\Burger\PW49GKH345YE9IDB2WXP78BZ.jpg,Burger,all,-0.5405002395627542
../foodsg-233\satay\56QPHNBCJLR5AD9QHP0SPYEY.jpg,satay,all,-0.5403979162452115
../foodsg-233\Avocados\B5PFSYGYIC8DAB8F2OPMIX19.jpg,Avocados,all,-0.5400560129380756
../foodsg-233\banana\VXY0ASME82W9Y4A7YRRBI5ZN.jpg,banana,all,-0.5399363428587022
../foodsg-233\pitaya\8UJINWM5WV5IGV71RT4YHUD8.jpg,pitaya,all,-0.5398096596192654
../foodsg-233\Grape\12YIKW6GV40XYP5KDJ8B96G2.jpg,Grape,all,-0.5392178007769128
../foodsg-233\kiwi\O6A30PESKSHT8TTPJL7DGWOS.jpg,kiwi,all,-0.5391874259690492
../foodsg-233\blueberries\5IGYRIX9EZFLX7COPO5FKLRB.jpg,blueberries,all,-0.5390841879006195
../foodsg-233\lychee\0I6EOZPE0WHA0AMVEXMDXU6J.jpg,lychee,all,-0.5386421337546257
../foodsg-233\mangosteen\GOSSUF5R0N6SOYZ2GG9QHSM4.jpg,mangosteen,all,-0.5384088188111281
../foodsg-233\Blackberry\Y8JF1GUKA8HHC0MVS3TWSRJO.jpg,Blackberry,all,-0.5381926316027964
../foodsg-233\rock melon\1BLT0W4IHY6OD8P1OCSLRWAC.jpg,rock melon,all,-0.537671557589795
../foodsg-233\jackfruit\N9YGFL4ROUXWVLB7L9EYTL0Q.jpg,jackfruit,all,-0.5375730898368082
../foodsg-233\banana\XPWS1YLLUQBHTR3T57DVZ28Y.jpg,banana,all,-0.537509905387991
../foodsg-233\Burger\XJ76B8OADAJVZ4FOEQ95TF36.jpg,Burger,all,-0.5375086912163896
../foodsg-233\xiao long bao\MYBXXHS6IEV19V3ODUBVJFC2.jpg,xiao long bao,all,-0.5374053944526278
../foodsg-233\oyster omelette\G0WMVUDT6LJ32W8BVR5JZN9N.jpg,oyster omelette,all,-0.5370188780291029
../foodsg-233\Burger\HDHOEDQ4MOL9XF39B4Q8OEBV.jpg,Burger,all,-0.5370118279779873
../foodsg-233\Soursop\LXZCRBGMQXIML25S9L5VHV1O.jpg,Soursop,all,-0.536939802053321
../foodsg-233\pitaya\4KOVF7CFAPFCLNON9Q0HI8IZ.jpg,pitaya,all,-0.5368790801123107
../foodsg-233\rock melon\LF8X1LJ2FPGSV96LZ4RJDRI1.jpg,rock melon,all,-0.5368785924294823
../foodsg-233\Persimmon\4RQQGCAMD0ALO4KPWJQJ86CB.jpg,Persimmon,all,-0.5361359613824523
../foodsg-233\Persimmon\6N8H7VE9CXH2YEIMEHPQNW4B.jpg,Persimmon,all,-0.5360387477485
../foodsg-233\kiwi\RCUGJWBVTQI06HG0RAKMDQBJ.jpg,kiwi,all,-0.5356480547739512
../foodsg-233\Burger\B9V5KQ4L9GXM0NSBNE8DYM6I.jpg,Burger,all,-0.5355086073270722
../foodsg-233\Persimmon\Z5FK880J7DQM9RUW34W1KMOQ.jpg,Persimmon,all,-0.5354357659875676
../foodsg-233\pitaya\BAEIPKNOMKTX2EGXYJEFQ9Q0.jpg,pitaya,all,-0.5354172395625868
../foodsg-233\rock melon\600LBHJNT4CM0O15VS3X3ZFP.jpg,rock melon,all,-0.5351411272041162
../foodsg-233\Soursop\31U4H1V65TVDZ60YBSMROTGH.jpg,Soursop,all,-0.5350636908566399
../foodsg-233\pizza\0OWGQCQ6K3YDVJUUA6L3KUKQ.jpg,pizza,all,-0.5350586958125343
../foodsg-233\lasagna\UQUUFJZP76VFT6TYT97VFW0R.jpg,lasagna,all,-0.5348957555856272
../foodsg-233\rock melon\QKMOYTIXX0S4VH8Y5F7ASFNA.jpg,rock melon,all,-0.5347030482003844
../foodsg-233\sambal kangkong\IOV864K4Y3K91SZQVLVK7SN8.jpg,sambal kangkong,all,-0.5346223002214194
../foodsg-233\mangosteen\JHMNO5JA0JV5NDS75WC2F0W9.jpg,mangosteen,all,-0.5345120974795476
../foodsg-233\Persimmon\3MV9I9J888JJQ9AQAR2AGJLE.jpg,Persimmon,all,-0.5343559519983099
../foodsg-233\pitaya\8URSFCV2J4T3IJHW4ZSL4KM4.jpg,pitaya,all,-0.5343023002391825
../foodsg-233\White Bread\XKKCZW9SNMM35DBOY0N1RZRJ.jpg,White Bread,all,-0.534245845960173
../foodsg-233\Starfruit\CJVUEHVXOV5VLYCMNNZ6ODB4.jpg,Starfruit,all,-0.5341109025031705
../foodsg-233\cherries\TP7VSHONVXOTH1H8PNA020XN.jpg,cherries,all,-0.5339209670578893
../foodsg-233\kiwi\L70NY9Q8VTDKABVI0DBHCHGB.jpg,kiwi,all,-0.5339071679354954
../foodsg-233\rambutan\REEOTCPDLT5OMCAGGINCJQAJ.jpg,rambutan,all,-0.5337174132919991
../foodsg-233\fried rice\GBV4MBKTKN5B4LMMMO0ZJ61R.jpg,fried rice,all,-0.5336990320263212
../foodsg-233\singapore sling\6058LQ538MYEWB3XQP3APEB1.jpg,singapore sling,all,-0.5336797912907326
../foodsg-233\rambutan\WI1GZWA8F1UN4433YIKUWIKN.jpg,rambutan,all,-0.5336644636379382
../foodsg-233\longan\F59YIIBBSBP7L9NY9O6SEPJS.jpg,longan,all,-0.5336427041780004
../foodsg-233\rock melon\TCUX6H84G1NUIZ7Q984B1DQR.jpg,rock melon,all,-0.5335011112557122
../foodsg-233\kiwi\E7ZATGNINFCB2XGMIJQ9SD1C.jpg,kiwi,all,-0.5334749443644662
../foodsg-233\pitaya\W1TAQKP4NZZS9M3WB0PL84FT.jpg,pitaya,all,-0.5331517153302812
../foodsg-233\cheng tng\C8O4J9VZ2NTF8AV1O5D1CR10.jpg,cheng tng,all,-0.5330472727093106
"../foodsg-233\Bee hoon, soto\99I8KAB8QAMKPTMNPNN9XBOK.jpg","Bee hoon, soto",all,-0.5330242223950303
../foodsg-233\pitaya\CKXPZHRTWEKQEPURC46YSORQ.jpg,pitaya,all,-0.5330194017488513
../foodsg-233\Grapefruit\D7Y1EBJ4IFQIQ5I453RKDSZ7.jpg,Grapefruit,all,-0.5328604537090069
../foodsg-233\pancake\GH83UJ9NJQRAQV2DQ3EOUGQ0.jpg,pancake,all,-0.5326576142725139
../foodsg-233\orange\QGKQ7KH6WYTLKN4ZGBG284S1.jpg,orange,all,-0.5326004910767383
../foodsg-233\kiwi\UAHR6LXM41T08LW6K4X68ZNX.jpg,kiwi,all,-0.5325901804329601
../foodsg-233\strawberry\YMXGOWEQQ3UWA45NJVNEC8SH.jpg,strawberry,all,-0.5325321342845074
../foodsg-233\Starfruit\1G7A94DGZT7XTJJP3VBELU6N.jpg,Starfruit,all,-0.532527999206241
../foodsg-233\rambutan\QA2MZU33WNNE4DALQJH4F3VB.jpg,rambutan,all,-0.5324708931488419
../foodsg-233\watermelon\VDG82PT1JAYGB34XY30DBTXS.jpg,watermelon,all,-0.53246641818922
../foodsg-233\Persimmon\SRWZVV5QGF9UDHXPXSBRWPTD.jpg,Persimmon,all,-0.5324517280596834
../foodsg-233\Burger\55CE0MA3ML7FGJ5TCV16LBA3.jpg,Burger,all,-0.5324464032233306
../foodsg-233\popcorn\QU22QC60P3CVYGOZ8D387OZL.jpg,popcorn,all,-0.5324443538648502
../foodsg-233\kiwi\EEX2X52M1LUP22K94ZCRBGLS.jpg,kiwi,all,-0.5324267957949762
../foodsg-233\pitaya\MOYIS82JBPUESA1SHIOD6RAO.jpg,pitaya,all,-0.5324210200231737
../foodsg-233\ice cream - chocolate\C6WQLI5HUSFQ0JF61GGY0A8K.jpg,ice cream - chocolate,all,-0.5323953467916452
../foodsg-233\Cucumber\9DUJZEFA8ICZNBIDSN8M7W73.jpg,Cucumber,all,-0.5323714184992319
../foodsg-233\Papaya\DEX2YVIXN1UGZAJUHHYRSVMU.jpg,Papaya,all,-0.5323710523159125
../foodsg-233\kiwi\YK8ITPSBDLH9XM9C6FDSBTEH.jpg,kiwi,all,-0.5322916991178726
../foodsg-233\kiwi\AVCNP3GDVFCVFZNYBWBPEIJW.jpg,kiwi,all,-0.5322767094904763
../foodsg-233\rambutan\WOHVWPWR0LZ5LM1B6F867JG7.jpg,rambutan,all,-0.5322445569180942
../foodsg-233\jackfruit\U97N3JCBVQK6TSY09BNA415Y.jpg,jackfruit,all,-0.532222237680488
../foodsg-233\Prawn Noodle\4YWU6OD971YSE1SOII67USXB.jpg,Prawn Noodle,all,-0.5320694002184767
../foodsg-233\kiwi\LW3CASYQ65NS9MUNG9MHT97N.jpg,kiwi,all,-0.5318637195535068
../foodsg-233\lychee\7JNEV9DIM0JR4DKUVAVNR2JD.jpg,lychee,all,-0.5318560191324683
../foodsg-233\Bubble Milk Tea\9S0W8DUL4DLIP6VVNTOLV9OO.jpg,Bubble Milk Tea,all,-0.5318521224912578
../foodsg-233\popcorn\TGVMLOIC9E6FZYQF52EIZX7Z.jpg,popcorn,all,-0.5318051047602241
../foodsg-233\kiwi\31VLLQONW09WU5RYOS8KEWDL.jpg,kiwi,all,-0.5317085202234989
../foodsg-233\chwee kueh\OW376O1WQMP87C1MJWNHDLIA.jpg,chwee kueh,all,-0.5315979636725408
../foodsg-233\cooked brown rice\BJVNXXDU3LXGP26DGWG74GJ6.jpg,cooked brown rice,all,-0.5315692242865502
../foodsg-233\Burger\H5X3N4CTX4876OXFW5W1L19I.jpg,Burger,all,-0.5315431479159188
../foodsg-233\kiwi\OVMFKBBGICJ6ASFV5TUP1N1E.jpg,kiwi,all,-0.5315295918748242
../foodsg-233\lychee\BUZBHY4K0VFRA4WS5QWN4UD5.jpg,lychee,all,-0.5314923107485023
../foodsg-233\mangosteen\USD1XXC0W2TGYF14OHOJ0Y87.jpg,mangosteen,all,-0.5313094739470465
../foodsg-233\rock melon\D6PRUTN26FGIWG15HF939N4C.jpg,rock melon,all,-0.5312366817291111
../foodsg-233\Kway Teow\VDDVFKRYZZZ5RESKH9PROXCH.jpg,Kway Teow,all,-0.5311942749680478
../foodsg-233\popcorn\KXFE0NDHR93KPWD6D6823UIE.jpg,popcorn,all,-0.5310375988358198
../foodsg-233\pizza\A7WN9KA4Q26XJIMJQ6WCMGCA.jpg,pizza,all,-0.5309245226284632
../foodsg-233\kiwi\ZKLRMUSBOAFN0A9G786LHL4E.jpg,kiwi,all,-0.5309219887114837
../foodsg-233\popcorn\KEWJYQTLFJSA5UVYKYTKCDIT.jpg,popcorn,all,-0.530889316828752
../foodsg-233\Blackberry\C1VA7IT2O33MIDOQUOFJJH6M.jpg,Blackberry,all,-0.5308827779515156
../foodsg-233\Persimmon\OLW2ACC9940ZQJW0LSG6YJ5Z.jpg,Persimmon,all,-0.5307813076447965
../foodsg-233\cooked white rice\4KIM35C9FIQ1TYLL2T2MLU1P.jpg,cooked white rice,all,-0.5306928349106533
../foodsg-233\kiwi\3OK2CAFO1IP9ERGOUU3TSNHR.jpg,kiwi,all,-0.5306774147007782
../foodsg-233\bakso\X6RJHC3FOOUHURHE5UMVISR1.jpg,bakso,all,-0.5306524674632943
../foodsg-233\sambal kangkong\H1L0GDHOVXIIKPT4VP2BDNEY.jpg,sambal kangkong,all,-0.5306105074796935
../foodsg-233\rambutan\M9F6HDO2WCQK2HCTN9GPAAE4.jpg,rambutan,all,-0.5305770571870069
../foodsg-233\kuih bahulu\S1A9SBYWG9R8YE512BOW79J9.jpg,kuih bahulu,all,-0.5305490679703267
../foodsg-233\Starfruit\MTC2TGGUXNAD8SLXANKAKVWC.jpg,Starfruit,all,-0.5304066543572926
../foodsg-233\ice cream - chocolate\IXUELZF2B0KVE1J95TRYKUOS.jpg,ice cream - chocolate,all,-0.5303096148376063
../foodsg-233\rock melon\C0G7KRI9DFHBH6POIPB0H2HY.jpg,rock melon,all,-0.5303017735369293
../foodsg-233\pear\URP56Y5AN4C08W0WTP2870A3.jpg,pear,all,-0.530222395214381
../foodsg-233\Grapefruit\SDKNZOMT374CX7TRL06IWUIC.jpg,Grapefruit,all,-0.5301529552109431
../foodsg-233\siew mai\ZNUF5AH22SJE6L0OILIWKIUQ.jpg,siew mai,all,-0.5301077927126802
../foodsg-233\lychee\TYLYS6FIF6Y39ZFAVZFJDUX6.jpg,lychee,all,-0.5300538870532797
../foodsg-233\Grapefruit\1AJALLJKBUUHMTO8N79M5DQB.jpg,Grapefruit,all,-0.5298869434724208
../foodsg-233\kiwi\XKAQJGLJN7OL3WXD781X1WUL.jpg,kiwi,all,-0.5298642636951391
../foodsg-233\popcorn\STVOJPYUX7NTNXVDEJRZ7KQ4.jpg,popcorn,all,-0.5298057143057975
../foodsg-233\rock melon\WYO07IAU5VCGMHFBJ3FU4XCN.jpg,rock melon,all,-0.5297703902229367
../foodsg-233\tandoori chicken\H40K2ZYHI8G5Q4CK2VE5A6VR.jpg,tandoori chicken,all,-0.5297403704514017
../foodsg-233\rock melon\A0KYD06NI3NIUYZ9SMAQLES1.jpg,rock melon,all,-0.529680878550792
../foodsg-233\longan\9726EXW5Y25C8NWW70REUDRX.jpg,longan,all,-0.5296141436650982
../foodsg-233\mushroom soup\TMLE3UJI2MTBYBV1WLH9VN4A.jpg,mushroom soup,all,-0.5295524308915864
../foodsg-233\pizza\O38CFV2NOICPW9RG7NDKKU15.jpg,pizza,all,-0.5295423226576745
../foodsg-233\lychee\RIZXR25O3TIX044ORNO6RJGX.jpg,lychee,all,-0.5294281949962502
../foodsg-233\rambutan\E5FSTDR8CU3EM5YX3F3L8SLL.jpg,rambutan,all,-0.5294195015677118
../foodsg-233\Mee rebus\A10R7VHMSOK451I15SDKRCDJ.jpg,Mee rebus,all,-0.5293875237826935
../foodsg-233\raspberry\F9NFIJ41X0RBCWC3YPBGCWK1.jpg,raspberry,all,-0.5293214448711829
../foodsg-233\kiwi\BX8IVBHB0I3Z3IUKVDCNBQF7.jpg,kiwi,all,-0.5293099031563724
../foodsg-233\Starfruit\NG1MD5W86564LWGCK9E7Z4H8.jpg,Starfruit,all,-0.5292536065386182
../foodsg-233\pear\TTAF81ZCW4CHBN7QJGIKCLTU.jpg,pear,all,-0.5291342392704607
../foodsg-233\Kway Teow\U7U5EKPH289YSUHU1ZO0NPVB.jpg,Kway Teow,all,-0.5291217264455041
../foodsg-233\Starfruit\UMMLJMBY56UOCSXYZWMVDYWU.jpg,Starfruit,all,-0.5290853358366009
../foodsg-233\fried rice\ZFPQUALD02N3B1EPKGVXWUSC.jpg,fried rice,all,-0.529017780777523
../foodsg-233\chicken soup\GX55E60OZXB18YKTQ4X484KM.jpg,chicken soup,all,-0.5288693759954513
../foodsg-233\pitaya\4GVNJXQW2KHNAKNUPPOHW3O2.jpg,pitaya,all,-0.5288561294904072
../foodsg-233\Persimmon\5HE53BCBQ1DQUDGLDREJ44J0.jpg,Persimmon,all,-0.5288432970269119
../foodsg-233\Blackberry\L1CF850RJTQ2IVGX5ZLLZ5X8.jpg,Blackberry,all,-0.5288364214272334
../foodsg-233\kiwi\H8T5LBAUG9LL7GLKJWXYMQV0.jpg,kiwi,all,-0.5287958655468108
../foodsg-233\Fried Noodles\FLL9SV9Z1YYDOIWNBNZ2D691.jpg,Fried Noodles,all,-0.5287506416410334
../foodsg-233\rock melon\AKL81T5F1VAMNSKSMOM46Y7Y.jpg,rock melon,all,-0.5286713988421742
../foodsg-233\xiao long bao\Z6XKBV320C5KS4OC1I0YMMV5.jpg,xiao long bao,all,-0.5286406967020933
../foodsg-233\rambutan\CPFYD34JWOU8IW6NK9XYUFXZ.jpg,rambutan,all,-0.5285488231408145
../foodsg-233\Grapefruit\WNP0ZBQJG2WD9D2J4KLDL0C8.jpg,Grapefruit,all,-0.5284814694638541
../foodsg-233\popcorn\ZGA1EP9ZJ5W55WVUAKBLRQIO.jpg,popcorn,all,-0.5283931086057299
../foodsg-233\mushroom soup\DPXT05K1L1XCMBNM3839FOWD.jpg,mushroom soup,all,-0.528267729735663
../foodsg-233\Kway Teow\QE3MSBQJOO7HOU3JEZM1T1Z6.jpg,Kway Teow,all,-0.5281889939405922
../foodsg-233\popcorn\VNJUDJ8TTHYA7IL1Z3003DN8.jpg,popcorn,all,-0.528181116602035
../foodsg-233\xiao long bao\36ZDG1KPUAI60ODTNTTPO7KT.jpg,xiao long bao,all,-0.5281288139748327
../foodsg-233\Grapefruit\F6Z6TH54HGNIEFZRS935QN3L.jpg,Grapefruit,all,-0.5279968313610459
../foodsg-233\begedil\EUF6HFBSFH91XYEZN1JVC271.jpg,begedil,all,-0.5278720471786051
../foodsg-233\kiwi\KHVV6CI6DAE873Z7N86W919L.jpg,kiwi,all,-0.5278468532184614
../foodsg-233\Burger\FECYZWGQH31VWOE9ILD5M2M3.jpg,Burger,all,-0.5277122277545345
../foodsg-233\Bibimbap\24NBYK10I2YLCLPZTUM8GTOH.jpg,Bibimbap,all,-0.5276869940968346
../foodsg-233\strawberry\ZGI0BAPB7GCPZQXDJTYZ3HD1.jpg,strawberry,all,-0.5276195744470431
../foodsg-233\pitaya\J7WHOEEZV7NCNEDOV42ED7VU.jpg,pitaya,all,-0.5275732652579725
../foodsg-233\kiwi\KJLTI23C4ASMODSPUQUC4B8F.jpg,kiwi,all,-0.5274950168073002
../foodsg-233\longan\IK74BUKGVKMYNMQKJT8X9KEO.jpg,longan,all,-0.5273962606658698
../foodsg-233\Papaya\YYX7KVO7FIUIIE3ZB82PAS4V.jpg,Papaya,all,-0.5273454694024385
../foodsg-233\Grape\JBYUTRLXNMDKJC8275P3VWEX.jpg,Grape,all,-0.5273210751606374
../foodsg-233\mee pok\4YE0MAIATLNL7LT7FQMNOOIH.jpg,mee pok,all,-0.5272546617971556
../foodsg-233\popcorn\IWIGM3OE4E03VHUED1686P15.jpg,popcorn,all,-0.5272205484186567
../foodsg-233\sliced fish soup\UVI6RW6GKFX9IIH2O5ULYUEO.jpg,sliced fish soup,all,-0.5272168413900871
"../foodsg-233\Bee hoon, goreng\SI98540AFUEFMMQQJ7655TK3.jpg","Bee hoon, goreng",all,-0.5271255925555932
../foodsg-233\Blackberry\J9WDZKM4ODYNMHB5UTRAJG1S.jpg,Blackberry,all,-0.5270759061215929
../foodsg-233\Fried Noodles\RFYSK6CJGFX2MKIV5WR18ID7.jpg,Fried Noodles,all,-0.5270712879945626
../foodsg-233\pear\XEKB9OPPKJJYXDBWV4VK6B6U.jpg,pear,all,-0.5269625317005677
../foodsg-233\Blackberry\GY0ZP6R16BI8HV98TOQ0VKWS.jpg,Blackberry,all,-0.5268941853790008
../foodsg-233\chicken masala\DIQ1R0OGPAY8H578QYTNOWSE.jpg,chicken masala,all,-0.5268206232198628
../foodsg-233\orange\LYO6E5V4MHUZZDMIDGY2MD7T.jpg,orange,all,-0.52676621159999
../foodsg-233\Pomelo\C3BG8Y748O4DKGPGJ36AXLYQ.jpg,Pomelo,all,-0.5267307584260141
../foodsg-233\popcorn\4AXNVJPOP5G51JWJ3QT1JHF3.jpg,popcorn,all,-0.5266939310218314
../foodsg-233\strawberry\4WVDKEQH4QUPCH741RKEU9CN.jpg,strawberry,all,-0.5266266561264795
../foodsg-233\Apricot\6KSB1FTJP34OIZMYC0T610E2.jpg,Apricot,all,-0.5265669280496889
../foodsg-233\rock melon\4A817P4JMRWDRAANXIO7GSHS.jpg,rock melon,all,-0.5265640253921151
"../foodsg-233\Bee hoon, goreng\7II39ROIWJ9L96ZZVDX81R61.jpg","Bee hoon, goreng",all,-0.5265552491142128
../foodsg-233\pineapple\9SYLQC8S0MS98OFUIAND0ZO5.jpg,pineapple,all,-0.5264692673175329
../foodsg-233\longan\WVBUH0M8B2CKZ39K3LZGZTS8.jpg,longan,all,-0.5264298106014937
../foodsg-233\rock melon\39CA49LVAZ32WDTS6KBBEDRI.jpg,rock melon,all,-0.5264027312315646
../foodsg-233\White Bread\H63G9Z110NXG49XKW6NOFNBS.jpg,White Bread,all,-0.526335067089781
../foodsg-233\Starfruit\8D9ART8IHAW2OW0JFJC92VSI.jpg,Starfruit,all,-0.526302778290815
../foodsg-233\Grapefruit\7FJ26T3VF0Q28Q1PQ7J47FZW.jpg,Grapefruit,all,-0.5262971097809571
../foodsg-233\watermelon\QEFFRR1U1YN5ZQPV8VR35815.jpg,watermelon,all,-0.5262542448777602
